comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
GENOVA,GE,010025,010025,133152
FIRENZE,FI,048017,048017,109071
NAPOLI,NA,063049,063049,80513
RAVENNA,RA,039014,039014,78180
BOLOGNA,BO,037006,037006,77620
MILANO,MI,015146,015146,65855
PERUGIA,PG,054039,054039,61496
PADOVA,PD,028060,028060,60747
MARSALA,TP,081011,081011,60498
DIANO MARINA,IM,008027,008027,57615
FERRARA,FE,038008,038008,57149
FORLÌ,FC,040012,040012,51280
RIMINI,RN,099014,099014,48363
REGGIO NELL'EMILIA,RE,035033,035033,47937
VICENZA,VI,024116,024116,44719
SASSARI,SS,090064,090064,43117
UDINE,UD,030129,030129,42987
CESENA,FC,040007,040007,37642
GROSSETO,GR,053011,053011,36212
PARMA,PR,034027,034027,35739
LECCE,LE,075035,075035,35555
QUARTU SANT'ELENA,CA,092051,092051,35329
MASSA,MS,045010,045010,34920
AREZZO,AR,051002,051002,34127
CORATO,BA,072020,072020,32468
LA SPEZIA,SP,011015,011015,31474
BARCELLONA POZZO DI GOTTO,ME,083005,083005,31182
SAN SEVERO,FG,071051,071051,30721
PIACENZA,PC,033032,033032,29139
ACIREALE,CT,087004,087004,28671
ADRANO,CT,087006,087006,28051
PATERNÒ,CT,087033,087033,27609
ANCONA,AN,042002,042002,27452
CARRARA,MS,045003,045003,27057
CREMONA,CR,019036,019036,26119
TRENTO,TN,022205,022205,26052
PALMA DI MONTECHIARO,AG,084027,084027,25512
NOVARA,NO,003106,003106,25449
TREVISO,TV,026086,026086,25041
ANZIO,RM,058007,058007,24960
PARTINICO,PA,082054,082054,24389
CAPANNORI,LU,046007,046007,24104
COMISO,RG,088003,088003,23849
GUIDONIA MONTECELIO,RM,058047,058047,22274
CASERTA,CE,061022,061022,22233
FANO,PU,041013,041013,22022
LUGO,RA,039012,039012,21909
IMOLA,BO,037032,037032,21705
QUARRATA,PT,047017,047017,21686
SCIACCA,AG,084041,084041,21639
BIANCAVILLA,CT,087008,087008,21560
MANDURIA,TA,073012,073012,21549
BITONTO,BA,072011,072011,21435
CASCINA,PI,050008,050008,20830
PAVIA,PV,018110,018110,20450
CALTAGIRONE,CT,087011,087011,20279
MONOPOLI,BA,072030,072030,20197
FAENZA,RA,039010,039010,19512
SIENA,SI,052032,052032,19477
POMEZIA,RM,058079,058079,19088
MACERATA,MC,043023,043023,18862
CHIOGGIA,VE,027008,027008,18805
SPOLETO,PG,054051,054051,18548
ORISTANO,OR,095038,095038,18524
MESAGNE,BR,074010,074010,18438
JESOLO,VE,027019,027019,18237
ACERRA,NA,063001,063001,18044
SENIGALLIA,AN,042045,042045,17941
MIRANDOLA,MO,036022,036022,17808
MATERA,MT,077014,077014,17706
NUORO,NU,091051,091051,17611
BISCEGLIE,BT,110003,110003,17546
GUBBIO,PG,054024,054024,17439
CALTANISSETTA,CL,085004,085004,17435
SAN DONÀ DI PIAVE,VE,027033,027033,17248
SASSUOLO,MO,036040,036040,17222
MARTINA FRANCA,TA,073013,073013,17208
MONREALE,PA,082049,082049,16982
MISTERBIANCO,CT,087029,087029,16929
VASTO,CH,069099,069099,16846
CROTONE,KR,101010,101010,16756
CAMPOBELLO DI MAZARA,TP,081004,081004,16734
FERMO,FM,109006,109006,16500
ROVIGO,RO,029041,029041,16262
MONTEVARCHI,AR,051026,051026,16236
ALTAMURA,BA,072004,072004,16085
MOLA DI BARI,BA,072028,072028,15924
PORTO SANT'ELPIDIO,FM,109034,109034,15705
MIRA,VE,027023,027023,15618
CAROVIGNO,BR,074002,074002,15552
NOLA,NA,063050,063050,15529
POZZUOLI,NA,063060,063060,15515
CAMPI BISENZIO,FI,048006,048006,15361
BRESCIA,BS,017029,017029,15355
LUCERA,FG,071028,071028,15272
AVELLINO,AV,064008,064008,15062
ROSOLINI,SR,089016,089016,14817
BELLUNO,BL,025006,025006,14709
GIARRE,CT,087017,087017,14523
PORTOGRUARO,VE,027029,027029,14514
MONDRAGONE,CE,061052,061052,14483
BIELLA,BI,096004,096004,14114
CREMA,CR,019035,019035,14113
ASCOLI PICENO,AP,044007,044007,14046
LISSONE,MB,108028,108028,13774
VARESE,VA,012133,012133,13752
SELARGIUS,CA,092068,092068,13751
SAN MINIATO,PI,050032,050032,13668
CINISELLO BALSAMO,MI,015077,015077,13638
ENNA,EN,086009,086009,13480
CONVERSANO,BA,072019,072019,13432
SULMONA,AQ,066098,066098,13311
LADISPOLI,RM,058116,058116,13308
TIVOLI,RM,058104,058104,13277
ALATRI,FR,060003,060003,13258
BELPASSO,CT,087007,087007,13132
RIESI,CL,085015,085015,12770
TRAPANI,TP,081021,081021,12769
RICCIONE,RN,099013,099013,12657
PORDENONE,PN,093033,093033,12657
SESTO SAN GIOVANNI,MI,015209,015209,12487
CENTO,FE,038004,038004,12483
MILAZZO,ME,083049,083049,12464
BAGNACAVALLO,RA,039002,039002,12443
TRIGGIANO,BA,072046,072046,12366
VERCELLI,VC,002158,002158,12294
MATINO,LE,075042,075042,12227
TAURISANO,LE,075084,075084,12054
BOLZANO,BZ,021008,021008,11912
CARMIANO,LE,075014,075014,11824
PRESICCE-ACQUARICA,LE,075098,075098,11822
TAURIANOVA,RC,080093,080093,11806
FRANCOFONTE,SR,089010,089010,11596
SALA CONSILINA,SA,065114,065114,11548
PONTEDERA,PI,050029,050029,11454
CUTRO,KR,101012,101012,11384
