comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
RACALE,LE,075063,075063,11370
CASSINO,FR,060019,060019,11282
PACECO,TP,081013,081013,11252
POGGIBONSI,SI,052022,052022,11174
PORTO CESAREO,LE,075097,075097,11132
RUFFANO,LE,075064,075064,11069
VALDAGNO,VI,024111,024111,10940
SAN GENNARO VESUVIANO,NA,063066,063066,10902
CASALE MONFERRATO,AL,006039,006039,10843
AUGUSTA,SR,089001,089001,10790
PINEROLO,TO,001191,001191,10761
GIULIANOVA,TE,067025,067025,10726
MONTECCHIO MAGGIORE,VI,024061,024061,10692
FORMIGINE,MO,036015,036015,10613
SETTIMO TORINESE,TO,001265,001265,10562
OTTAVIANO,NA,063051,063051,10556
VENTIMIGLIA,IM,008065,008065,10539
LATIANO,BR,074009,074009,10489
SANT'ANTIOCO,SU,111071,111071,10488
PERGINE VALSUGANA,TN,022139,022139,10482
TAVIANO,LE,075085,075085,10448
TEGGIANO,SA,065146,065146,10365
VIBO VALENTIA,VV,102047,102047,10360
ARADEO,LE,075006,075006,10332
ACQUI TERME,AL,006001,006001,10304
GALLIPOLI,LE,075031,075031,10298
PROCIDA,NA,063061,063061,10285
SARZANA,SP,011027,011027,10261
GIUSSANO,MB,108024,108024,10231
CISTERNINO,BR,074005,074005,10224
ROSÀ,VI,024087,024087,10182
SAN SALVO,CH,069083,069083,10154
SPINEA,VE,027038,027038,10150
PANTELLERIA,TP,081014,081014,10148
MONTEMURLO,PO,100003,100003,9997
TORTORICI,ME,083099,083099,9997
MISANO ADRIATICO,RN,099005,099005,9976
PONTECAGNANO FAIANO,SA,065099,065099,9955
FRANCAVILLA AL MARE,CH,069035,069035,9944
MONDOVÌ,CN,004130,004130,9849
POGGIOMARINO,NA,063055,063055,9838
PETILIA POLICASTRO,KR,101017,101017,9837
MAGLIE,LE,075039,075039,9835
CARLENTINI,SR,089006,089006,9801
VEROLI,FR,060085,060085,9765
RANDAZZO,CT,087038,087038,9753
BRONTE,CT,087009,087009,9701
PULSANO,TA,073022,073022,9521
CAMPAGNA,SA,065022,065022,9511
VIADANA,MN,020066,020066,9496
JESI,AN,042021,042021,9482
AVIGLIANO,PZ,076007,076007,9474
CASTELLANETA,TA,073003,073003,9448
NARNI,TR,055022,055022,9426
BELLARIA-IGEA MARINA,RN,099001,099001,9403
CASTIGLION FIORENTINO,AR,051012,051012,9391
AGROPOLI,SA,065002,065002,9340
ALBEROBELLO,BA,072003,072003,9300
ESTE,PD,028037,028037,9249
MARANELLO,MO,036019,036019,9215
ISCHIA,NA,063037,063037,9088
PINETO,TE,067035,067035,9048
ORIA,BR,074011,074011,9040
ALFONSINE,RA,039001,039001,8971
MODUGNO,BA,072027,072027,8946
CODIGORO,FE,038005,038005,8932
SAN GIOVANNI LA PUNTA,CT,087041,087041,8926
LIZZANELLO,LE,075038,075038,8873
CHIARI,BS,017052,017052,8858
CUTROFIANO,LE,075026,075026,8829
TORCHIAROLO,BR,074018,074018,8810
VOLTERRA,PI,050039,050039,8808
TOLENTINO,MC,043053,043053,8728
PIETRA LIGURE,SV,009049,009049,8723
CHIAMPO,VI,024029,024029,8709
OCCHIOBELLO,RO,029033,029033,8660
GROTTAMMARE,AP,044023,044023,8649
VIGONZA,PD,028100,028100,8639
LASTRA A SIGNA,FI,048024,048024,8634
RIONERO IN VULTURE,PZ,076066,076066,8530
SUZZARA,MN,020065,020065,8491
LIMBIATE,MB,108027,108027,8484
MENTANA,RM,058059,058059,8473
FOSSANO,CN,004089,004089,8423
SELLIA MARINA,CZ,079127,079127,8421
SAN VINCENZO,LI,049018,049018,8330
NEVIANO,LE,075053,075053,8309
ROMANO D'EZZELINO,VI,024086,024086,8306
SCORZÈ,VE,027037,027037,8289
COLLEPASSO,LE,075021,075021,8247
GIOVINAZZO,BA,072022,072022,8236
SANTA VENERINA,CT,087048,087048,8226
SPEZZANO ALBANESE,CS,078142,078142,8196
PALAZZOLO ACREIDE,SR,089015,089015,8193
MASCALI,CT,087023,087023,8189
PORTO VIRO,RO,029052,029052,8143
COSENZA,CS,078045,078045,8088
ALTOPASCIO,LU,046001,046001,8071
CARMIGNANO,PO,100002,100002,8052
MONTALTO UFFUGO,CS,078081,078081,8039
VILLA CASTELLI,BR,074020,074020,8008
MARTELLAGO,VE,027021,027021,8000
VITTORIO VENETO,TV,026092,026092,8000
MONSERRATO,CA,092109,092109,7999
VERBANIA,VB,103072,103072,7999
NOCERA SUPERIORE,SA,065079,065079,7997
POMPEI,NA,063058,063058,7986
DALMINE,BG,016091,016091,7975
CARMAGNOLA,TO,001059,001059,7880
MERCATO SAN SEVERINO,SA,065067,065067,7831
ISOLA DI CAPO RIZZUTO,KR,101013,101013,7822
GIRIFALCO,CZ,079059,079059,7798
BORGONOVO VAL TIDONE,PC,033006,033006,7789
RIVOLI,TO,001219,001219,7787
CASTELFRANCO PIANDISCÒ,AR,051040,051040,7785
LATERZA,TA,073009,073009,7772
MILETO,VV,102021,102021,7688
ALBIGNASEGO,PD,028003,028003,7687
MANOPPELLO,PE,068022,068022,7677
SAN FILIPPO DEL MELA,ME,083077,083077,7648
TUGLIE,LE,075089,075089,7620
CELLOLE,CE,061102,061102,7617
POLISTENA,RC,080061,080061,7613
SAN GIOVANNI GEMINI,AG,084036,084036,7563
BARRAFRANCA,EN,086004,086004,7544
GANGI,PA,082036,082036,7539
BERNALDA,MT,077003,077003,7476
BRA,CN,004029,004029,7467
CASTELFIORENTINO,FI,048010,048010,7451
MOLINELLA,BO,037039,037039,7423
DOLIANOVA,SU,111014,111014,7396
CASALMAGGIORE,CR,019021,019021,7329
CAMPLI,TE,067008,067008,7294
CAIVANO,NA,063011,063011,7279
GROTTE,AG,084018,084018,7265
MOTTA SANT'ANASTASIA,CT,087030,087030,7261
ABANO TERME,PD,028001,028001,7256
CONSELICE,RA,039008,039008,7250
FINALE EMILIA,MO,036012,036012,7234
FISCAGLIA,FE,038027,038027,7188
COPPARO,FE,038007,038007,7140
CIVITELLA IN VAL DI CHIANA,AR,051016,051016,7125
CORBETTA,MI,015085,015085,7098
PIRAINO,ME,083068,083068,7081
VICO DEL GARGANO,FG,071059,071059,7080
MELILLI,SR,089012,089012,7058
ERACLEA,VE,027013,027013,7014
LINGUAGLOSSA,CT,087021,087021,7014
CASTAGNETO CARDUCCI,LI,049006,049006,6986
ABBIATEGRASSO,MI,015002,015002,6980
GUASTALLA,RE,035024,035024,6977
ACATE,RG,088001,088001,6920
MUGNANO DI NAPOLI,NA,063048,063048,6920
MARTANO,LE,075040,075040,6907
FOSSOMBRONE,PU,041015,041015,6887
GUSPINI,SU,111034,111034,6884
RECANATI,MC,043044,043044,6868
OLEGGIO,NO,003108,003108,6865
PARABITA,LE,075059,075059,6840
CALIMERA,LE,075010,075010,6830
MONTALE,PT,047010,047010,6814
SANT'ANASTASIA,NA,063072,063072,6797
SAN CASCIANO IN VAL DI PESA,FI,048038,048038,6752
BOJANO,CB,070003,070003,6743
MILITELLO IN VAL DI CATANIA,CT,087025,087025,6724
MAROSTICA,VI,024057,024057,6693
GIAVENO,TO,001115,001115,6650
SANTA MARIA A VICO,CE,061082,061082,6648
CALCINAIA,PI,050004,050004,6646
ROCCASTRADA,GR,053021,053021,6641
COTRONEI,KR,101009,101009,6613
LAMPORECCHIO,PT,047005,047005,6605
RUSSI,RA,039016,039016,6591
FORTE DEI MARMI,LU,046013,046013,6580
PESCARA,PE,068028,068028,6572
RUBANO,PD,028072,028072,6564
BORGETTO,PA,082013,082013,6557
EBOLI,SA,065050,065050,6513
NORCIA,PG,054035,054035,6512
GUAGNANO,LE,075034,075034,6477
CORSANO,LE,075024,075024,6473
MASSA LOMBARDA,RA,039013,039013,6471
ASOLA,MN,020002,020002,6470
MIRABELLA IMBACCARI,CT,087028,087028,6459
CASTELBUONO,PA,082022,082022,6413
CASTELVETRO DI MODENA,MO,036008,036008,6379
GAGLIANO DEL CAPO,LE,075028,075028,6370
FIORANO MODENESE,MO,036013,036013,6366
MOTTA SAN GIOVANNI,RC,080054,080054,6341
RONCADE,TV,026069,026069,6315
REALMONTE,AG,084032,084032,6305
VILLAROSA,EN,086020,086020,6285
SCORRANO,LE,075073,075073,6266
RIVALTA DI TORINO,TO,001214,001214,6247
GUALDO TADINO,PG,054023,054023,6245
LAMPEDUSA E LINOSA,AG,084020,084020,6243
BUSSOLENGO,VR,023015,023015,6229
BOVALINO,RC,080012,080012,6227
CANICATTINI BAGNI,SR,089005,089005,6215
VIGNOLA,MO,036046,036046,6210
VEDELAGO,TV,026089,026089,6178
TAORMINA,ME,083097,083097,6172
CASTEL SAN GIORGIO,SA,065034,065034,6155
ALESSANO,LE,075002,075002,6139
MONTELUPO FIORENTINO,FI,048028,048028,6083
VILLASIMIUS,SU,111105,111105,6075
POLLA,SA,065097,065097,6074
STRONGOLI,KR,101025,101025,6028
VIESTE,FG,071060,071060,6016
TERNI,TR,055032,055032,6001
SERRAMANNA,SU,111077,111077,5999
CALITRI,AV,064015,064015,5993
SAN PIETRO IN CASALE,BO,037055,037055,5992
NICHELINO,TO,001164,001164,5985
LORETO,AN,042022,042022,5984
BUDRIO,BO,037008,037008,5973
SANTA MARGHERITA LIGURE,GE,010054,010054,5968
VICOPISANO,PI,050038,050038,5958
ROMBIOLO,VV,102031,102031,5957
DELIA,CL,085006,085006,5940
GAVARDO,BS,017077,017077,5938
CAMPODARSEGO,PD,028017,028017,5931
BAGNOLO PIEMONTE,CN,004009,004009,5912
NOVENTA VICENTINA,VI,024074,024074,5886
RIVA DEL PO,FE,038029,038029,5878
CASTELRAIMONDO,MC,043009,043009,5862
MARINEO,PA,082046,082046,5858
MURO LECCESE,LE,075051,075051,5832
LUSIANA CONCO,VI,024127,024127,5828
SPECCHIA,LE,075077,075077,5811
DARFO BOARIO TERME,BS,017065,017065,5808
TEZZE SUL BRENTA,VI,024104,024104,5793
SAN MARCELLO PITEGLIO,PT,047024,047024,5788
CHIARAVALLE,AN,042014,042014,5784
MASSA LUBRENSE,NA,063044,063044,5782
MALETTO,CT,087022,087022,5771
CRISPIANO,TA,073004,073004,5755
CODOGNO,LO,098019,098019,5753
CONCORDIA SULLA SECCHIA,MO,036010,036010,5752
CAIRO MONTENOTTE,SV,009015,009015,5750
CORIGLIANO D'OTRANTO,LE,075023,075023,5738
MORANO CALABRO,CS,078083,078083,5733
CAPURSO,BA,072014,072014,5729
FUSIGNANO,RA,039011,039011,5717
RIVA DEL GARDA,TN,022153,022153,5715
MARTINSICURO,TE,067047,067047,5700
LEQUILE,LE,075036,075036,5692
PREGANZIOL,TV,026063,026063,5671
ARICCIA,RM,058009,058009,5662
PONTREMOLI,MS,045014,045014,5651
NOVELLARA,RE,035028,035028,5644
SOMMACAMPAGNA,VR,023082,023082,5635
LONGOBUCCO,CS,078068,078068,5627
ARBUS,SU,111001,111001,5614
CASALPUSTERLENGO,LO,098010,098010,5606
MAZZANO,BS,017107,017107,5603
BORDIGHERA,IM,008008,008008,5591
TORRI DI QUARTESOLO,VI,024108,024108,5578
CINQUEFRONDI,RC,080027,080027,5560
SAN LAZZARO DI SAVENA,BO,037054,037054,5558
SERRADIFALCO,CL,085018,085018,5551
MANERBIO,BS,017103,017103,5545
SAN GIUSTINO,PG,054044,054044,5509
MONTIGNOSO,MS,045011,045011,5507
SAN VITO AL TAGLIAMENTO,PN,093041,093041,5493
MORBEGNO,SO,014045,014045,5489
MISILISCEMI,TP,081025,081025,5478
NEGRAR DI VALPOLICELLA,VR,023052,023052,5477
PIAZZOLA SUL BRENTA,PD,028063,028063,5473
SALICE SALENTINO,LE,075065,075065,5462
MONTEMARCIANO,AN,042027,042027,5457
DOLO,VE,027012,027012,5438
CAZZAGO SAN MARTINO,BS,017046,017046,5438
SAN VERO MILIS,OR,095050,095050,5435
OLGIATE OLONA,VA,012108,012108,5428
DOMODOSSOLA,VB,103028,103028,5409
ARENZANO,GE,010001,010001,5399
CERVINARA,AV,064025,064025,5374
BARONISSI,SA,065013,065013,5340
TRABIA,PA,082073,082073,5331
GALLIATE,NO,003068,003068,5324
CASTELNUOVO RANGONE,MO,036007,036007,5305
RIGNANO SULL'ARNO,FI,048036,048036,5298
CASSANO D'ADDA,MI,015059,015059,5296
MELICUCCO,RC,080049,080049,5272
IMPRUNETA,FI,048022,048022,5244
CASTELLETTO SOPRA TICINO,NO,003043,003043,5241
PORTOSCUSO,SU,111057,111057,5232
STIGLIANO,MT,077027,077027,5231
STALETTÌ,CZ,079143,079143,5215
ALTO RENO TERME,BO,037062,037062,5207
ROZZANO,MI,015189,015189,5179
RECOARO TERME,VI,024084,024084,5173
CHIETI,CH,069022,069022,5173
MONTERONI D'ARBIA,SI,052017,052017,5171
RIZZICONI,RC,080065,080065,5168
SUPERSANO,LE,075081,075081,5161
ALBISOLA SUPERIORE,SV,009004,009004,5157
MIGGIANO,LE,075046,075046,5127
CONCORDIA SAGITTARIA,VE,027011,027011,5094
CASTEGGIO,PV,018037,018037,5091
COTIGNOLA,RA,039009,039009,5090
BRONI,PV,018024,018024,5086
SANT'ANGELO DEI LOMBARDI,AV,064092,064092,5081
REZZATO,BS,017161,017161,5079
MONTALBANO ELICONA,ME,083057,083057,5074
AIROLA,BN,062001,062001,5071
SANTA CESAREA TERME,LE,075072,075072,5070
CREAZZO,VI,024036,024036,5055
SALUZZO,CN,004203,004203,5047
CASAL VELINO,SA,065028,065028,5002
VALLELUNGA PRATAMENO,CL,085021,085021,4992
MIRABELLA ECLANO,AV,064050,064050,4982
ATELLA,PZ,076006,076006,4973
SPILAMBERTO,MO,036045,036045,4948
SERRENTI,SU,111078,111078,4902
LIONI,AV,064044,064044,4881
NICOLOSI,CT,087031,087031,4876
SERRASTRETTA,CZ,079129,079129,4874
BRESSANONE,BZ,021011,021011,4869
ALBA ADRIATICA,TE,067001,067001,4864
ZANÈ,VI,024119,024119,4862
GORIZIA,GO,031007,031007,4860
CREVALCORE,BO,037024,037024,4849
SAN FELICE SUL PANARO,MO,036037,036037,4835
MACERATA CAMPANIA,CE,061047,061047,4805
NEPI,VT,056039,056039,4789
ARONA,NO,003008,003008,4788
GRAVINA DI CATANIA,CT,087019,087019,4786
CASTELLI CALEPIO,BG,016062,016062,4784
OSILO,SS,090050,090050,4772
MARRUBIU,OR,095025,095025,4769
LOANO,SV,009034,009034,4768
SAN DONACI,BR,074013,074013,4754
BREGANZE,VI,024014,024014,4753
GIFFONI VALLE PIANA,SA,065056,065056,4752
TRESIGNANA,FE,038030,038030,4736
ORGOSOLO,NU,091062,091062,4734
SAN GIOVANNI TEATINO,CH,069081,069081,4730
CAMPOLONGO MAGGIORE,VE,027003,027003,4723
ACI SANT'ANTONIO,CT,087005,087005,4711
CASTEL BOLOGNESE,RA,039006,039006,4699
CAPANNOLI,PI,050005,050005,4690
FILOTTRANO,AN,042019,042019,4687
COLLEFERRO,RM,058034,058034,4683
DOMUSNOVAS,SU,111016,111016,4666
PRATOVECCHIO STIA,AR,051041,051041,4629
MENDICINO,CS,078079,078079,4627
ROVERBELLA,MN,020053,020053,4622
ACQUAPENDENTE,VT,056001,056001,4588
GATTINARA,VC,002061,002061,4577
GUALTIERI,RE,035023,035023,4566
SAN MAURO MARCHESATO,KR,101020,101020,4566
PATERNO,PZ,076100,076100,4561
LAUREANA DI BORRELLO,RC,080042,080042,4547
SORANO,GR,053026,053026,4546
SAN GIOVANNI VALDARNO,AR,051033,051033,4535
RIESE PIO X,TV,026068,026068,4531
PRIMIERO SAN MARTINO DI CASTROZZA,TN,022245,022245,4523
MATELICA,MC,043024,043024,4516
SPONGANO,LE,075078,075078,4504
SAN DEMETRIO CORONE,CS,078114,078114,4487
CALTABELLOTTA,AG,084007,084007,4483
LUINO,VA,012092,012092,4479
MOTTA VISCONTI,MI,015151,015151,4462
BRISIGHELLA,RA,039004,039004,4456
SANT'ANGELO DI BROLO,ME,083088,083088,4455
ROCCADASPIDE,SA,065106,065106,4454
RONCOFERRARO,MN,020052,020052,4451
BALESTRATE,PA,082007,082007,4442
PESCHIERA DEL GARDA,VR,023059,023059,4415
MANIACE,CT,087057,087057,4413
ISOLA DELLA SCALA,VR,023040,023040,4409
SAN GIORGIO DELLE PERTICHE,PD,028075,028075,4405
MONTAGNANA,PD,028056,028056,4395
PIANORO,BO,037047,037047,4395
VOLTURARA IRPINA,AV,064119,064119,4381
PONTE DI LEGNO,BS,017148,017148,4380
SAN DAMIANO D'ASTI,AT,005097,005097,4378
BARI SARDO,NU,091005,091005,4371
BARBERINO DI MUGELLO,FI,048002,048002,4368
PIEDIMONTE ETNEO,CT,087035,087035,4361
ZERO BRANCO,TV,026095,026095,4360
PALAZZO SAN GERVASIO,PZ,076057,076057,4346
CHIANCIANO TERME,SI,052009,052009,4334
VILLADOSE,RO,029048,029048,4334
PALAU,SS,090054,090054,4332
SORBOLO MEZZANI,PR,034051,034051,4331
FARRA DI SOLIGO,TV,026026,026026,4326
VARALLO,VC,002156,002156,4326
SATRIANO,CZ,079123,079123,4322
GRAZZANISE,CE,061042,061042,4314
BEDIZZOLE,BS,017014,017014,4306
BARDOLINO,VR,023006,023006,4302
SANTA LUCIA DEL MELA,ME,083086,083086,4300
ROGGIANO GRAVINA,CS,078104,078104,4297
CASTEGNATO,BS,017040,017040,4294
SCURCOLA MARSICANA,AQ,066096,066096,4288
VIGARANO MAINARDA,FE,038022,038022,4282
BUSETO PALIZZOLO,TP,081002,081002,4279
DERUTA,PG,054017,054017,4273
VOLPIANO,TO,001314,001314,4270
ZOCCA,MO,036047,036047,4268
CAPRI,NA,063014,063014,4262
BUGGIANO,PT,047003,047003,4260
SANT'ANGELO LODIGIANO,LO,098050,098050,4240
CORNUDA,TV,026023,026023,4239
MONGHIDORO,BO,037040,037040,4230
CAVE,RM,058026,058026,4218
CORIANO,RN,099003,099003,4199
PRIVERNO,LT,059019,059019,4190
POGGIO RENATICO,FE,038018,038018,4186
MARSCIANO,PG,054027,054027,4185
GREZZANA,VR,023038,023038,4175
PIEVE A NIEVOLE,PT,047013,047013,4160
MONTELABBATE,PU,041036,041036,4158
ASIAGO,VI,024009,024009,4158
SAN MAURO TORINESE,TO,001249,001249,4154
PICERNO,PZ,076059,076059,4143
OZZANO DELL'EMILIA,BO,037046,037046,4140
FABRIZIA,VV,102010,102010,4135
MONTECASSIANO,MC,043026,043026,4134
UTA,CA,092090,092090,4125
ANACAPRI,NA,063004,063004,4124
FALERNA,CZ,079047,079047,4107
BROLO,ME,083007,083007,4104
CAROSINO,TA,073002,073002,4087
MILENA,CL,085010,085010,4085
MERATE,LC,097048,097048,4071
CRUCOLI,KR,101011,101011,4068
MUSILE DI PIAVE,VE,027025,027025,4067
GIARDINI-NAXOS,ME,083032,083032,4064
MARLIANA,PT,047007,047007,4056
LANUVIO,RM,058050,058050,4051
OLEVANO SUL TUSCIANO,SA,065082,065082,4048
FERLA,SR,089008,089008,4045
BARGE,CN,004012,004012,4036
SOGLIANO CAVOUR,LE,075075,075075,4036
LANUSEI,NU,091037,091037,4029
MONFORTE SAN GIORGIO,ME,083054,083054,4028
CASTENASO,BO,037021,037021,4026
BORGO VENETO,PD,028107,028107,4021
MONTESCUDO-MONTE COLOMBO,RN,099029,099029,4014
CASTELNUOVO DI PORTO,RM,058024,058024,4001
SAN MICHELE SALENTINO,BR,074014,074014,4000
CUMIANA,TO,001097,001097,3993
SAN MICHELE DI GANZARIA,CT,087043,087043,3988
POVIGLIO,RE,035029,035029,3985
CASTELLANA SICULA,PA,082024,082024,3982
GORGONZOLA,MI,015108,015108,3970
GRISIGNANO DI ZOCCO,VI,024046,024046,3964
STRADELLA,PV,018153,018153,3957
SAONARA,PD,028085,028085,3955
VILLAPIANA,CS,078154,078154,3949
MERCATO SARACENO,FC,040020,040020,3941
CORTE FRANCA,BS,017062,017062,3938
SAN GIORGIO LA MOLARA,BN,062059,062059,3936
FLERO,BS,017072,017072,3935
VIGONOVO,VE,027043,027043,3926
TURATE,CO,013227,013227,3921
MOSCIANO SANT'ANGELO,TE,067030,067030,3899
SISSA TRECASALI,PR,034049,034049,3892
SAN CALOGERO,VV,102032,102032,3868
BORGORICCO,PD,028013,028013,3868
MARSICOVETERE,PZ,076046,076046,3860
LUZZARA,RE,035026,035026,3856
BITTI,NU,091009,091009,3852
SCISCIANO,NA,063077,063077,3849
STAZZEMA,LU,046030,046030,3849
GRANAROLO DELL'EMILIA,BO,037030,037030,3846
TUSA,ME,083101,083101,3836
FORINO,AV,064034,064034,3832
OFFIDA,AP,044054,044054,3818
GONZAGA,MN,020027,020027,3814
SAN VITO,SU,111066,111066,3813
CASALVIERI,FR,060018,060018,3812
BAUNEI,NU,091006,091006,3810
CASTIGLIONE DEI PEPOLI,BO,037022,037022,3808
CASALECCHIO DI RENO,BO,037011,037011,3782
CASTELGOMBERTO,VI,024028,024028,3777
BOLSENA,VT,056008,056008,3758
SEUI,SU,111081,111081,3755
BUSCA,CN,004034,004034,3751
CASTROLIBERO,CS,078031,078031,3751
URBANIA,PU,041066,041066,3738
FIAMIGNANO,RI,057028,057028,3738
FUSCALDO,CS,078058,078058,3716
COLOGNOLA AI COLLI,VR,023028,023028,3695
FIESSO D'ARTICO,VE,027014,027014,3684
BONO,SS,090012,090012,3677
SPELLO,PG,054050,054050,3664
MONTESANO SALENTINO,LE,075049,075049,3660
AMARONI,CZ,079003,079003,3657
FORENZA,PZ,076033,076033,3635
APPIANO SULLA STRADA DEL VINO,BZ,021004,021004,3623
MARMIROLO,MN,020033,020033,3620
MONTAGNAREALE,ME,083056,083056,3612
SAPRI,SA,065134,065134,3606
LIPARI,ME,083041,083041,3595
SPINAZZOLA,BT,110008,110008,3586
LORO CIUFFENNA,AR,051020,051020,3586
TORRI DEL BENACO,VR,023086,023086,3584
PIOSSASCO,TO,001194,001194,3579
MARANO VICENTINO,VI,024056,024056,3573
SAN GIORGIO PIACENTINO,PC,033040,033040,3571
CASAVATORE,NA,063021,063021,3566
RIOLO TERME,RA,039015,039015,3565
VINOVO,TO,001309,001309,3565
GARGNANO,BS,017076,017076,3557
MALALBERGO,BO,037035,037035,3551
ARGELATO,BO,037002,037002,3541
SANTHIÀ,VC,002133,002133,3540
POLIZZI GENEROSA,PA,082058,082058,3537
BAGNO DI ROMAGNA,FC,040001,040001,3534
NOTARESCO,TE,067032,067032,3524
BELLINZAGO NOVARESE,NO,003016,003016,3522
