comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
GENOVA,GE,010025,010025,133125
FIRENZE,FI,048017,048017,109036
RAVENNA,RA,039014,039014,77887
BOLOGNA,BO,037006,037006,76657
FERRARA,FE,038008,038008,57109
FORLÌ,FC,040012,040012,51264
CESENA,FC,040007,040007,37634
PARMA,PR,034027,034027,35656
GROSSETO,GR,053011,053011,33872
CARRARA,MS,045003,045003,27050
CREMONA,CR,019036,019036,26107
TRENTO,TN,022205,022205,26061
NOVARA,NO,003106,003106,25368
TREVISO,TV,026086,026086,25041
IMOLA,BO,037032,037032,21705
LUGO,RA,039012,039012,21568
PAVIA,PV,018110,018110,20449
SIENA,SI,052032,052032,19469
JESOLO,VE,027019,027019,18237
BRESCIA,BS,017029,017029,14714
SENIGALLIA,AN,042045,042045,14294
VARESE,VA,012133,012133,13742
BAGNACAVALLO,RA,039002,039002,12434
ADRANO,CT,087006,087006,11997
PACECO,TP,081013,081013,11251
POGGIBONSI,SI,052022,052022,11167
MIRA,VE,027023,027023,10819
ACQUI TERME,AL,006001,006001,10304
ROSÀ,VI,024087,024087,10182
CHIOGGIA,VE,027008,027008,9834
PONTEDERA,PI,050029,050029,9478
ALFONSINE,RA,039001,039001,8957
SAN VINCENZO,LI,049018,049018,8238
CAMPI BISENZIO,FI,048006,048006,7854
PORTO VIRO,RO,029052,029052,7837
PINETO,TE,067035,067035,7385
CAMPLI,TE,067008,067008,7294
CONSELICE,RA,039008,039008,7247
CORBETTA,MI,015085,015085,7090
ACATE,RG,088001,088001,6920
MONTALE,PT,047010,047010,6811
EBOLI,SA,065050,065050,6484
COSENZA,CS,078045,078045,6392
MASSA LOMBARDA,RA,039013,039013,6301
GUALDO TADINO,PG,054023,054023,6245
VILLASIMIUS,SU,111105,111105,6075
CARMIGNANO,PO,100002,100002,6003
SAN LAZZARO DI SAVENA,BO,037054,037054,6000
TEZZE SUL BRENTA,VI,024104,024104,5793
FUSIGNANO,RA,039011,039011,5717
MONTEMARCIANO,AN,042027,042027,5458
SAN VERO MILIS,OR,095050,095050,5435
ARENZANO,GE,010001,010001,5391
SAN VITO AL TAGLIAMENTO,PN,093041,093041,5390
CASTELNUOVO RANGONE,MO,036007,036007,5295
ALBA ADRIATICA,TE,067001,067001,5294
CHIETI,CH,069022,069022,5173
COTIGNOLA,RA,039009,039009,5088
PALMA DI MONTECHIARO,AG,084027,084027,5064
SERRENTI,SU,111078,111078,4902
RECOARO TERME,VI,024084,024084,4877
GORIZIA,GO,031007,031007,4860
CASTELLETTO SOPRA TICINO,NO,003043,003043,4826
CIVITELLA IN VAL DI CHIANA,AR,051016,051016,4822
NEPI,VT,056039,056039,4789
ROVERBELLA,MN,020053,020053,4622
MARSCIANO,PG,054027,054027,4185
PALAU,SS,090054,090054,4158
ASIAGO,VI,024009,024009,4081
MUSILE DI PIAVE,VE,027025,027025,4067
MERATE,LC,097048,097048,4058
PETILIA POLICASTRO,KR,101017,101017,4000
CINQUEFRONDI,RC,080027,080027,4000
VILLAPIANA,CS,078154,078154,3949
OLEVANO SUL TUSCIANO,SA,065082,065082,3875
CORTE FRANCA,BS,017062,017062,3869
SAN VITO,SU,111066,111066,3813
SASSUOLO,MO,036040,036040,3732
SISSA TRECASALI,PR,034049,034049,3718
CASTELGOMBERTO,VI,024028,024028,3707
SCURCOLA MARSICANA,AQ,066096,066096,3586
BELLINZAGO NOVARESE,NO,003016,003016,3514
ARIENZO,CE,061004,061004,3464
CORSANO,LE,075024,075024,3447
CAMPAGNA,SA,065022,065022,3412
COLLECCHIO,PR,034009,034009,3341
MAJANO,UD,030053,030053,3334
CALIMERA,LE,075010,075010,3272
CASOLI,CH,069017,069017,3219
VENARIA REALE,TO,001292,001292,3218
CASORATE SEMPIONE,VA,012039,012039,3049
MUSSOLENTE,VI,024070,024070,2999
MONTE URANO,FM,109024,109024,2968
ACQUEDOLCI,ME,083107,083107,2940
COMISO,RG,088003,088003,2909
PIOLTELLO,MI,015175,015175,2904
SERSALE,CZ,079130,079130,2902
MOLINELLA,BO,037039,037039,2899
TARCENTO,UD,030116,030116,2890
PONTE SAN PIETRO,BG,016170,016170,2886
COLLELONGO,AQ,066039,066039,2886
FOSSÒ,VE,027017,027017,2854
COPPARO,FE,038007,038007,2805
CASTELLANA SICULA,PA,082024,082024,2765
BRANDIZZO,TO,001034,001034,2717
VIGONOVO,VE,027043,027043,2709
CASTELDACCIA,PA,082023,082023,2666
CERIANA,IM,008016,008016,2661
VILLANOVA DI CAMPOSAMPIERO,PD,028104,028104,2659
SERRAMAZZONI,MO,036042,036042,2653
CAMPO CALABRO,RC,080018,080018,2651
MENAGGIO,CO,013145,013145,2616
VIBO VALENTIA,VV,102047,102047,2592
MARTINA FRANCA,TA,073013,073013,2588
RAPAGNANO,FM,109035,109035,2499
GATTICO-VERUNO,NO,003166,003166,2493
SOSPIROLO,BL,025056,025056,2487
RIARDO,CE,061068,061068,2479
SAN PIETRO DI FELETTO,TV,026073,026073,2461
SANTA CROCE CAMERINA,RG,088010,088010,2446
POMPIANO,BS,017146,017146,2435
CAPOSELE,AV,064017,064017,2419
SAMBUCA DI SICILIA,AG,084034,084034,2398
DORNO,PV,018061,018061,2388
LIZZANELLO,LE,075038,075038,2377
SANTA MARIA NUOVA,AN,042043,042043,2361
MANDAS,SU,111039,111039,2335
VILLADOSSOLA,VB,103075,103075,2316
ZAMBRONE,VV,102049,102049,2314
SANT'AGATA SUL SANTERNO,RA,039017,039017,2249
SANT'ANGELO DEI LOMBARDI,AV,064092,064092,2229
ASTI,AT,005005,005005,2212
SAN VITTORE OLONA,MI,015201,015201,2195
SANTO STEFANO TICINO,MI,015200,015200,2188
PAESANA,CN,004157,004157,2187
BORGO VAL DI TARO,PR,034006,034006,2162
GAMBATESA,CB,070025,070025,2150
SAN LORENZO NUOVO,VT,056047,056047,2145
CONA,VE,027010,027010,2140
LACONI,OR,095082,095082,2120
BASCIANO,TE,067005,067005,2059
SAMPEYRE,CN,004205,004205,2040
OGGIONA CON SANTO STEFANO,VA,012107,012107,2033
FREGONA,TV,026030,026030,2017
ARADEO,LE,075006,075006,2013
VAL DI ZOLDO,BL,025073,025073,2000
ALZATE BRIANZA,CO,013007,013007,1994
DARFO BOARIO TERME,BS,017065,017065,1954
FERNO,VA,012068,012068,1952
CARRÈ,VI,024024,024024,1943
TERMOLI,CB,070078,070078,1905
RIVA DEL PO,FE,038029,038029,1879
FOSSALTA DI PIAVE,VE,027015,027015,1845
RAGOGNA,UD,030087,030087,1841
TERRE DEL RENO,FE,038028,038028,1832
ROSOLINA,RO,029040,029040,1832
ALFEDENA,AQ,066003,066003,1812
GOSSOLENGO,PC,033023,033023,1799
CANNOBIO,VB,103017,103017,1799
CENTO,FE,038004,038004,1792
SAN DONATO MILANESE,MI,015192,015192,1781
QUALIANO,NA,063062,063062,1771
SAN PIER NICETO,ME,083080,083080,1770
