comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
VALEGGIO SUL MINCIO,VR,023089,023089,2291
SANT'ANGELO DEI LOMBARDI,AV,064092,064092,2229
SAN VITTORE OLONA,MI,015201,015201,2195
SANTO STEFANO TICINO,MI,015200,015200,2188
TERRE DEL RENO,FE,038028,038028,2169
SAN LORENZO NUOVO,VT,056047,056047,2159
CONA,VE,027010,027010,2140
GAMBATESA,CB,070025,070025,2133
SAN PIER NICETO,ME,083080,083080,2129
LACONI,OR,095082,095082,2120
MOGLIANO VENETO,TV,026043,026043,2119
MONIGA DEL GARDA,BS,017109,017109,2109
BASCIANO,TE,067005,067005,2059
OGGIONA CON SANTO STEFANO,VA,012107,012107,2033
FREGONA,TV,026030,026030,2017
ARADEO,LE,075006,075006,2013
ALZATE BRIANZA,CO,013007,013007,1994
FERNO,VA,012068,012068,1952
CARRÈ,VI,024024,024024,1952
RIVA DEL PO,FE,038029,038029,1927
CENTO,FE,038004,038004,1903
FOSSALTA DI PIAVE,VE,027015,027015,1846
RAGOGNA,UD,030087,030087,1844
ROSOLINA,RO,029040,029040,1842
ALFEDENA,AQ,066003,066003,1812
QUALIANO,NA,063062,063062,1810
AGNA,PD,028002,028002,1808
GOSSOLENGO,PC,033023,033023,1799
SAN DONATO MILANESE,MI,015192,015192,1792
ORSAGO,TV,026053,026053,1764
LEFFE,BG,016124,016124,1762
ROVIGO,RO,029041,029041,1745
SAN GIORGIO SU LEGNANO,MI,015194,015194,1735
MARACALAGONIS,CA,092037,092037,1727
SOMAGLIA,LO,098054,098054,1691
PEIO,TN,022136,022136,1673
SUPERSANO,LE,075081,075081,1673
SAN PIETRO DI FELETTO,TV,026073,026073,1671
CARLAZZO,CO,013047,013047,1669
MARZABOTTO,BO,037036,037036,1656
SAN CESARIO SUL PANARO,MO,036036,036036,1655
DRAPIA,VV,102009,102009,1644
AVELLINO,AV,064008,064008,1632
POMEZIA,RM,058079,058079,1627
MASSINO VISCONTI,NO,003093,003093,1590
MARENE,CN,004117,004117,1589
MAGLIANO DE' MARSI,AQ,066053,066053,1583
LURAGO D'ERBA,CO,013136,013136,1580
AGNOSINE,BS,017003,017003,1545
FARA NOVARESE,NO,003065,003065,1532
ENEGO,VI,024039,024039,1511
ROASIO,VC,002116,002116,1510
CRUCOLI,KR,101011,101011,1508
SPOLTORE,PE,068041,068041,1500
BARZANÒ,LC,097006,097006,1494
SAINT-CHRISTOPHE,AO,007058,007058,1477
MORINO,AQ,066057,066057,1462
ZERI,MS,045017,045017,1457
DARFO BOARIO TERME,BS,017065,017065,1447
VILLAFRANCA D'ASTI,AT,005117,005117,1441
MONTEMARANO,AV,064058,064058,1436
LASA,BZ,021042,021042,1392
OULX,TO,001175,001175,1385
PALMA DI MONTECHIARO,AG,084027,084027,1376
BOLZANO,BZ,021008,021008,1361
POCENIA,UD,030075,030075,1349
MESERO,MI,015144,015144,1342
GARGALLO,NO,003070,003070,1337
LOCATE VARESINO,CO,013131,013131,1336
ZAVATTARELLO,PV,018184,018184,1317
ROCCASECCA DEI VOLSCI,LT,059023,059023,1317
VERCANA,CO,013239,013239,1308
BALSORANO,AQ,066007,066007,1301
MONTORSO VICENTINO,VI,024068,024068,1296
ALESSANO,LE,075002,075002,1287
BATTAGLIA TERME,PD,028011,028011,1281
CAPO DI PONTE,BS,017035,017035,1267
BARZIO,LC,097007,097007,1260
TRESIGNANA,FE,038030,038030,1256
MORUZZO,UD,030063,030063,1229
OZZANO MONFERRATO,AL,006123,006123,1224
FORNI DI SOPRA,UD,030041,030041,1216
CANDIOLO,TO,001051,001051,1209
FOMBIO,LO,098026,098026,1207
ROBECCO D'OGLIO,CR,019085,019085,1204
FRONT,TO,001109,001109,1184
COMANO,MS,045005,045005,1182
FOSSALTA DI PORTOGRUARO,VE,027016,027016,1171
FONTANETO D'AGOGNA,NO,003066,003066,1160
MAGLIE,LE,075039,075039,1150
MOMO,NO,003100,003100,1138
TERRAVECCHIA,CS,078147,078147,1134
CASALROMANO,MN,020012,020012,1130
SOLBIATE OLONA,VA,012122,012122,1128
LICATA,AG,084021,084021,1122
NURALLAO,SU,111046,111046,1120
BAUCINA,PA,082008,082008,1117
VASTO,CH,069099,069099,1115
SAN LORENZO DI SEBATO,BZ,021081,021081,1108
SAN DANIELE DEL FRIULI,UD,030099,030099,1107
SANGANO,TO,001241,001241,1105
SOLBIATE ARNO,VA,012121,012121,1098
MACCHIA D'ISERNIA,IS,094025,094025,1092
VALTOPINA,PG,054059,054059,1072
LA THUILE,AO,007041,007041,1060
CASTELNUOVO BOCCA D'ADDA,LO,098013,098013,1058
LEZZENO,CO,013126,013126,1049
CAMPODORO,PD,028018,028018,1029
SPECCHIA,LE,075077,075077,1015
CIVIDATE CAMUNO,BS,017055,017055,1010
ROVETTA,BG,016187,016187,1008
SENIGA,BS,017177,017177,1007
CERRO AL VOLTURNO,IS,094014,094014,997
CASTRIGNANO DEL CAPO,LE,075019,075019,993
TICINETO,AL,006173,006173,984
FORMIGINE,MO,036015,036015,981
COCULLO,AQ,066037,066037,974
VIGONE,TO,001299,001299,961
MAGGIORA,NO,003088,003088,961
SALICETO,CN,004201,004201,953
MEZZANA,TN,022114,022114,943
PETTENASCO,NO,003116,003116,938
FIESSO D'ARTICO,VE,027014,027014,936
RASUN-ANTERSELVA,BZ,021071,021071,934
RABBI,TN,022150,022150,933
MONTEFINO,TE,067027,067027,924
TREMEZZINA,CO,013252,013252,923
SIZZANO,NO,003139,003139,922
QUAREGNA CERRETO,BI,096087,096087,914
PALMOLI,CH,069061,069061,907
CASTELBALDO,PD,028029,028029,905
ALBINEA,RE,035001,035001,904
ROTA D'IMAGNA,BG,016186,016186,888
PELLA,NO,003115,003115,888
ORTUCCHIO,AQ,066064,066064,886
PIACENZA D'ADIGE,PD,028062,028062,853
SALZANO,VE,027032,027032,848
PRATO SESIA,NO,003122,003122,836
RIALTO,SV,009053,009053,836
BERZO DEMO,BS,017016,017016,835
TORRITA DI SIENA,SI,052035,052035,833
FORTE DEI MARMI,LU,046013,046013,831
DIANO D'ALBA,CN,004080,004080,811
SANTO STEFANO LODIGIANO,LO,098051,098051,806
DIVIGNANO,NO,003060,003060,785
RANZANICO,BG,016179,016179,780
VILLANOVAFORRU,SU,111100,111100,778
GRANDOLA ED UNITI,CO,013111,013111,777
LECCE,LE,075035,075035,772
SIDDI,SU,111083,111083,767
GRANZE,PD,028043,028043,764
VELTURNO,BZ,021116,021116,764
CASALINO,NO,003040,003040,758
REDAVALLE,PV,018120,018120,756
CHALLAND-SAINT-ANSELME,AO,007013,007013,752
VESIME,AT,005113,005113,752
SOZZAGO,NO,003141,003141,751
BOSISIO PARINI,LC,097009,097009,750
SANT'ALESSIO CON VIALONE,PV,018141,018141,740
CASARANO,LE,075016,075016,734
PRESEZZO,BG,016176,016176,729
SAN MARTINO IN BADIA,BZ,021082,021082,729
CASTAGNITO,CN,004046,004046,728
CREMOSANO,CR,019037,019037,726
STELVIO,BZ,021095,021095,725
ROCCACASALE,AQ,066079,066079,724
CASTANO PRIMO,MI,015062,015062,724
PIANELLO DEL LARIO,CO,013183,013183,709
CATANIA,CT,087015,087015,709
SONA,VR,023083,023083,706
QUART,AO,007054,007054,696
SAN GIOVANNI GEMINI,AG,084036,084036,689
ALAGNA VALSESIA,VC,002002,002002,687
BORGO A MOZZANO,LU,046004,046004,684
MONTECHIARUGOLO,PR,034023,034023,683
SALIZZOLE,VR,023068,023068,681
LAGNASCO,CN,004104,004104,677
SOLETO,LE,075076,075076,677
TONCO,AT,005109,005109,675
FLAIBANO,UD,030039,030039,670
ZUCCARELLO,SV,009069,009069,655
COSEANO,UD,030031,030031,635
BIOGLIO,BI,096005,096005,635
LOSINE,BS,017094,017094,632
CASTELFIDARDO,AN,042010,042010,632
VALSAMOGGIA,BO,037061,037061,628
VALDERICE,TP,081022,081022,627
TORRE BOLDONE,BG,016214,016214,625
RHÊMES-NOTRE-DAME,AO,007055,007055,620
FAGAGNA,UD,030037,030037,619
ALTISSIMO,VI,024005,024005,615
CORVARA IN BADIA,BZ,021026,021026,611
PATTI,ME,083066,083066,607
SANT'ANDREA FRIUS,SU,111069,111069,601
VILLANDRO,BZ,021114,021114,601
OLTRONA DI SAN MAMETTE,CO,013169,013169,600
PETRALIA SOPRANA,PA,082055,082055,585
SALA BIELLESE,BI,096057,096057,581
MARANELLO,MO,036019,036019,574
FELITTO,SA,065051,065051,573
LOVERE,BG,016128,016128,571
VINCHIO,AT,005120,005120,564
VARALLO POMBIA,NO,003154,003154,559
TERRUGGIA,AL,006171,006171,557
TERTENIA,NU,091089,091089,556
PIODE,VC,002097,002097,548
LANUSEI,NU,091037,091037,543
GIUGGIANELLO,LE,075032,075032,537
CURTAROLO,PD,028036,028036,535
ABETONE CUTIGLIANO,PT,047023,047023,534
SAN FIOR,TV,026072,026072,533
PRAMOLLO,TO,001204,001204,533
SALMOUR,CN,004202,004202,524
OVINDOLI,AQ,066065,066065,523
MATERA,MT,077014,077014,519
ANGRI,SA,065007,065007,515
BISEGNA,AQ,066011,066011,514
VESPOLATE,NO,003158,003158,513
MORMANNO,CS,078084,078084,511
RAGUSA,RG,088009,088009,510
ARLUNO,MI,015010,015010,510
VILLASTELLONE,TO,001308,001308,509
SUTRI,VT,056049,056049,508
LAVELLO,PZ,076043,076043,507
L'AQUILA,AQ,066049,066049,502
CORNAREDO,MI,015087,015087,500
QUARNA SOTTO,VB,103059,103059,499
ORTA SAN GIULIO,NO,003112,003112,490
MAGLIANO IN TOSCANA,GR,053013,053013,488
SOVIZZO,VI,024128,024128,485
PRASCORSANO,TO,001206,001206,480
CASTIGLIONE D'ADDA,LO,098014,098014,477
CAPRIOLO,BS,017038,017038,474
PIEVE SAN GIACOMO,CR,019075,019075,473
LUNANO,PU,041022,041022,473
MOMPANTERO,TO,001154,001154,472
MARANO TICINO,NO,003091,003091,468
PREZZA,AQ,066076,066076,467
CEREA,VR,023025,023025,464
CASCINETTE D'IVREA,TO,001061,001061,462
PESCATE,LC,097068,097068,461
BROZOLO,TO,001037,001037,459
MONGUZZO,CO,013153,013153,457
PIOBESI D'ALBA,CN,004168,004168,457
PROSERPIO,CO,013192,013192,456
GESUALDO,AV,064036,064036,453
FORTUNAGO,PV,018064,018064,452
ALBANO LAZIALE,RM,058003,058003,449
CAPPELLA CANTONE,CR,019013,019013,446
ALBETTONE,VI,024002,024002,446
CARSOLI,AQ,066025,066025,445
SEMESTENE,SS,090066,090066,444
DIGNANO,UD,030032,030032,442
CROTTA D'ADDA,CR,019038,019038,439
COLLOREDO DI MONTE ALBANO,UD,030028,030028,437
CANTARANA,AT,005018,005018,433
GAMBASSI TERME,FI,048020,048020,426
MELISSA,KR,101014,101014,423
TORRALBA,SS,090073,090073,421
OSOPPO,UD,030066,030066,414
BIANDRATE,NO,003018,003018,413
SONICO,BS,017181,017181,405
FÉNIS,AO,007027,007027,402
TREVIOLO,BG,016220,016220,401
NIBBIOLA,NO,003104,003104,398
VILLA SANTA MARIA,CH,069102,069102,395
BRACCA,BG,016035,016035,395
FORGARIA NEL FRIULI,UD,030137,030137,393
GHILARZA,OR,095021,095021,391
SESTO FIORENTINO,FI,048043,048043,389
ARZANA,NU,091002,091002,387
GARBAGNA,AL,006079,006079,387
CALVATONE,CR,019009,019009,386
SANTA BRIGIDA,BG,016191,016191,385
SAN NICOLÒ DI COMELICO,BL,025046,025046,385
SCALDASOLE,PV,018147,018147,384
GRIMACCO,UD,030045,030045,378
SAN BENEDETTO DEL TRONTO,AP,044066,044066,374
MONTIRONE,BS,017114,017114,373
BALDISSERO CANAVESE,TO,001017,001017,361
MEZZANE DI SOTTO,VR,023047,023047,354
CANNETO SULL'OGLIO,MN,020008,020008,350
APPIANO SULLA STRADA DEL VINO,BZ,021004,021004,348
CASSANO D'ADDA,MI,015059,015059,344
MOLINELLA,BO,037039,037039,344
CAMERI,NO,003032,003032,342
MONTEZEMOLO,CN,004141,004141,340
VAL LIONA,VI,024123,024123,339
CASTELLANETA,TA,073003,073003,339
PALADINA,BG,016155,016155,338
RESIA,UD,030092,030092,337
PERLETTO,CN,004161,004161,336
PECETTO TORINESE,TO,001183,001183,336
SOLIERA,MO,036044,036044,334
SANT'ANGELO DI PIOVE DI SACCO,PD,028082,028082,332
POMARO MONFERRATO,AL,006131,006131,331
PISOGNE,BS,017143,017143,328
TURANIA,RI,057071,057071,326
SAREZZO,BS,017174,017174,325
PORTO SAN GIORGIO,FM,109033,109033,320
BERZANO DI SAN PIETRO,AT,005009,005009,316
CAMAIORE,LU,046005,046005,312
CASTIGLIONE DI GARFAGNANA,LU,046010,046010,311
CASTEL DI SANGRO,AQ,066028,066028,311
BARI,BA,072006,072006,309
SINIO,CN,004220,004220,307
ROMENTINO,NO,003131,003131,304
CASALECCHIO DI RENO,BO,037011,037011,302
CERVICATI,CS,078038,078038,298
SAN GIORGIO BIGARELLO,MN,020057,020057,297
CRESSA,NO,003055,003055,296
TADASUNI,OR,095064,095064,296
CAVERNAGO,BG,016066,016066,293
SANTA MARGHERITA DI BELICE,AG,084038,084038,291
CASELLE LURANI,LO,098012,098012,290
BENE LARIO,CO,013021,013021,288
PORLEZZA,CO,013189,013189,287
SAN POSSIDONIO,MO,036038,036038,287
TRAPPETO,PA,082074,082074,285
TERDOBBIATE,NO,003144,003144,278
MONTICHIARI,BS,017113,017113,277
BARREA,AQ,066010,066010,275
VIALE,AT,005114,005114,274
SANT'ANNA D'ALFAEDO,VR,023078,023078,273
VENEZIA,VE,027042,027042,270
BOGOGNO,NO,003021,003021,270
ANZIO,RM,058007,058007,267
MISTERBIANCO,CT,087029,087029,266
MARETTO,AT,005062,005062,265
CIVITELLA ROVETO,AQ,066036,066036,265
CALTANISSETTA,CL,085004,085004,263
NASO,ME,083060,083060,262
ISSO,BG,016122,016122,262
TREPPO GRANDE,UD,030126,030126,261
FASANO,BR,074007,074007,256
VEDESETA,BG,016230,016230,253
VERNOLE,LE,075093,075093,251
PEDAVENA,BL,025036,025036,250
FALCONARA MARITTIMA,AN,042018,042018,245
GORIANO SICOLI,AQ,066047,066047,243
MUSSOLENTE,VI,024070,024070,243
ROATTO,AT,005091,005091,242
LECCE NEI MARSI,AQ,066050,066050,241
CREMA,CR,019035,019035,237
LOREGGIA,PD,028046,028046,236
FRASSINORO,MO,036016,036016,236
MELPIGNANO,LE,075045,075045,235
QUINTO VICENTINO,VI,024083,024083,235
BORGO VIRGILIO,MN,020071,020071,233
AFFILE,RM,058001,058001,233
SAN SECONDO DI PINEROLO,TO,001254,001254,231
GERMAGNO,VB,103032,103032,226
ARAMENGO,AT,005004,005004,226
VICENZA,VI,024116,024116,223
MANTOVA,MN,020030,020030,222
VICO DEL GARGANO,FG,071059,071059,221
AMELIA,TR,055004,055004,221
CESANO MADERNO,MB,108019,108019,220
RIPALTA CREMASCA,CR,019081,019081,219
GUAGNANO,LE,075034,075034,219
GAGGIO MONTANO,BO,037027,037027,213
SALERNO,SA,065116,065116,213
ROCCA DE' BALDI,CN,004189,004189,208
CIVITELLA ALFEDENA,AQ,066035,066035,202
MONTALTO DI CASTRO,VT,056035,056035,201
BORRELLO,CH,069007,069007,200
GIOVINAZZO,BA,072022,072022,199
GROSSETO,GR,053011,053011,198
BERCHIDDA,SS,090009,090009,198
CAMPODIMELE,LT,059003,059003,196
SANT'AMBROGIO DI VALPOLICELLA,VR,023077,023077,196
TAIPANA,UD,030113,030113,196
BAGNO DI ROMAGNA,FC,040001,040001,194
SORSO,SS,090069,090069,194
CASTEL CONDINO,TN,022045,022045,192
SOMMACAMPAGNA,VR,023082,023082,192
RODELLO,CN,004196,004196,192
BORONEDDU,OR,095016,095016,191
URBANIA,PU,041066,041066,190
CASSINO,FR,060019,060019,190
PIEDICAVALLO,BI,096044,096044,188
BRONI,PV,018024,018024,188
ARCOLE,VR,023004,023004,187
CERNUSCO SUL NAVIGLIO,MI,015070,015070,183
PALMI,RC,080057,080057,180
ALBINO,BG,016004,016004,179
VALLANZENGO,BI,096072,096072,177
CASTELFRANCO VENETO,TV,026012,026012,176
POLISTENA,RC,080061,080061,175
PESCHIERA DEL GARDA,VR,023059,023059,174
ROMETTA,ME,083076,083076,173
BRESSANVIDO,VI,024016,024016,172
OSSIMO,BS,017128,017128,168
VALNEGRA,BG,016227,016227,166
SANTO STEFANO BELBO,CN,004213,004213,164
SEGONZANO,TN,022172,022172,164
LEGNANO,MI,015118,015118,162
CISLIANO,MI,015078,015078,162
ORTONA DEI MARSI,AQ,066063,066063,161
SAN CESAREO,RM,058119,058119,160
BRAONE,BS,017027,017027,156
MONTECCHIO MAGGIORE,VI,024061,024061,152
CASTIONE ANDEVENNO,SO,014015,014015,152
TUILI,SU,111091,111091,150
MONTELEONE SABINO,RI,057041,057041,150
INDUNO OLONA,VA,012083,012083,149
ELLO,LC,097033,097033,146
RIVE D'ARCANO,UD,030095,030095,146
AZZATE,VA,012006,012006,145
MUSCOLINE,BS,017116,017116,143
DESIO,MB,108023,108023,142
GONI,SU,111029,111029,141
CASTEL DI LUCIO,ME,083013,083013,140
CONZANO,AL,006061,006061,139
CASALETTO VAPRIO,CR,019020,019020,138
COLOGNA VENETA,VR,023027,023027,137
POLPENAZZE DEL GARDA,BS,017145,017145,133
DRO,TN,022079,022079,133
VILLA MINOZZO,RE,035045,035045,132
ROBBIO,PV,018123,018123,132
TORNATA,CR,019106,019106,131
ROCCHETTA TANARO,AT,005096,005096,131
CANTALUPO LIGURE,AL,006028,006028,130
MONTICELLO BRIANZA,LC,097054,097054,129
VILLETTA BARREA,AQ,066107,066107,128
PESCHIERA BORROMEO,MI,015171,015171,127
ROVELLASCA,CO,013201,013201,126
SANT'EGIDIO ALLA VIBRATA,TE,067038,067038,126
MONTE SAN GIUSTO,MC,043031,043031,125
URBINO,PU,041067,041067,125
NOVELLO,CN,004152,004152,124
VERNIO,PO,100007,100007,124
MORTARA,PV,018102,018102,123
BRICHERASIO,TO,001035,001035,123
DUEVILLE,VI,024038,024038,121
PREMIA,VB,103056,103056,121
CASTELLINO TANARO,CN,004052,004052,120
CASTENASO,BO,037021,037021,119
FENEGRÒ,CO,013100,013100,117
SERIATE,BG,016198,016198,117
GAIARINE,TV,026031,026031,116
VIAREGGIO,LU,046033,046033,115
FONTE,TV,026029,026029,115
COLOGNO AL SERIO,BG,016079,016079,114
VIGNOLO,CN,004243,004243,114
MONCUCCO TORINESE,AT,005070,005070,112
VALLEBONA,IM,008062,008062,112
SAN VITO DI FAGAGNA,UD,030106,030106,111
ENVIE,CN,004085,004085,110
CERESARA,MN,020019,020019,110
CICOGNOLO,CR,019030,019030,109
MODUGNO,BA,072027,072027,106
PETTINENGO,BI,096042,096042,105
MARATEA,PZ,076044,076044,105
GOSALDO,BL,025025,025025,103
CISON DI VALMARINO,TV,026018,026018,102
POGGIOFIORITO,CH,069067,069067,101
CASOREZZO,MI,015058,015058,100
SALI VERCELLESE,VC,002127,002127,100
SAN MARTINO ALFIERI,AT,005099,005099,100
CARAVATE,VA,012031,012031,100
TORTORA,CS,078149,078149,100
BASTIA UMBRA,PG,054002,054002,99
MORBELLO,AL,006110,006110,99
CASALZUIGNO,VA,012037,012037,98
BENNA,BI,096003,096003,98
PONCARALE,BS,017147,017147,96
ALTAVILLA MONFERRATO,AL,006007,006007,96
ERBA,CO,013095,013095,95
VALDAGNO,VI,024111,024111,93
GORLAGO,BG,016114,016114,93
DRESANO,MI,015101,015101,92
SANTA TERESA GALLURA,SS,090063,090063,91
SAN GIOVANNI IN MARIGNANO,RN,099017,099017,91
PADERNA,AL,006124,006124,90
SANTENA,TO,001257,001257,89
OLEGGIO,NO,003108,003108,89
CANDIA LOMELLINA,PV,018027,018027,88
MONTESE,MO,036026,036026,88
PESCAROLO ED UNITI,CR,019069,019069,87
FIORANO MODENESE,MO,036013,036013,87
QUARTU SANT'ELENA,CA,092051,092051,86
RUTIGLIANO,BA,072037,072037,85
MEDOLAGO,BG,016250,016250,85
CASTELFRANCI,AV,064023,064023,85
CASALBUTTANO ED UNITI,CR,019016,019016,84
SMERILLO,FM,109039,109039,84
PIEVE A NIEVOLE,PT,047013,047013,84
FORCOLA,SO,014029,014029,84
MONTEFIORINO,MO,036025,036025,83
ALES,OR,095004,095004,83
CELLOLE,CE,061102,061102,82
TRECATE,NO,003149,003149,82
ROASCIO,CN,004184,004184,81
MORENGO,BG,016140,016140,81
CAPOLIVERI,LI,049004,049004,81
VENIANO,CO,013238,013238,79
CITTÀ SANT'ANGELO,PE,068012,068012,79
MEDICINA,BO,037037,037037,79
CRESPADORO,VI,024037,024037,78
PATERNOPOLI,AV,064070,064070,78
PRIGNANO SULLA SECCHIA,MO,036033,036033,78
SALA MONFERRATO,AL,006150,006150,77
FAVRIA,TO,001101,001101,77
BELLANO,LC,097008,097008,77
SEGRATE,MI,015205,015205,77
SAN PIETRO AL TANAGRO,SA,065125,065125,76
PIOVE DI SACCO,PD,028065,028065,75
CALTAGIRONE,CT,087011,087011,75
CABIATE,CO,013035,013035,74
RIGNANO FLAMINIO,RM,058082,058082,74
ROLO,RE,035035,035035,73
COLLI DEL TRONTO,AP,044014,044014,73
CAPORCIANO,AQ,066022,066022,73
PABILLONIS,SU,111052,111052,72
CAROBBIO DEGLI ANGELI,BG,016055,016055,71
SCIACCA,AG,084041,084041,70
MARANO SUL PANARO,MO,036020,036020,69
SAREGO,VI,024098,024098,69
CANTÙ,CO,013041,013041,68
NOVI LIGURE,AL,006114,006114,66
BUSCA,CN,004034,004034,66
CINISI,PA,082031,082031,66
SETTIMO MILANESE,MI,015211,015211,65
BARBANIA,TO,001021,001021,65
GIVOLETTO,TO,001116,001116,65
MONTESILVANO,PE,068024,068024,65
REVINE LAGO,TV,026067,026067,65
SODDÌ,OR,095078,095078,64
RIVA LIGURE,IM,008050,008050,63
LANCIANO,CH,069046,069046,63
ONANO,VT,056040,056040,63
VAREDO,MB,108045,108045,63
CALICE LIGURE,SV,009016,009016,61
FIESOLE,FI,048015,048015,61
CERMENATE,CO,013064,013064,60
COMMESSAGGIO,MN,020020,020020,60
SLUDERNO,BZ,021094,021094,60
ZEDDIANI,OR,095074,095074,60
MONTELUPO FIORENTINO,FI,048028,048028,60
VAIE,TO,001283,001283,59
CAPANNORI,LU,046007,046007,59
PADERNO DUGNANO,MI,015166,015166,59
GANGI,PA,082036,082036,58
CALCERANICA AL LAGO,TN,022032,022032,58
URI,SS,090076,090076,58
MANDURIA,TA,073012,073012,58
MELAZZO,AL,006092,006092,58
GENURI,SU,111024,111024,57
SAN GIUSTINO,PG,054044,054044,57
CONCAMARISE,VR,023029,023029,56
MEZZOMERICO,NO,003097,003097,56
BRUINO,TO,001038,001038,56
PIETRASANTA,LU,046024,046024,56
SANTA CROCE DEL SANNIO,BN,062069,062069,55
MONTALTO UFFUGO,CS,078081,078081,55
PIANE CRATI,CS,078097,078097,55
MATINO,LE,075042,075042,55
MONTANERA,CN,004136,004136,54
FORENZA,PZ,076033,076033,54
CANCELLO ED ARNONE,CE,061012,061012,54
SALEMI,TP,081018,081018,53
VILLONGO,BG,016242,016242,53
BORMIO,SO,014009,014009,52
ATRIPALDA,AV,064006,064006,52
TREZZANO ROSA,MI,015219,015219,52
