comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
GENOVA,GE,010025,010025,133109
FIRENZE,FI,048017,048017,109029
RAVENNA,RA,039014,039014,77887
BOLOGNA,BO,037006,037006,76664
FERRARA,FE,038008,038008,57109
FORLÌ,FC,040012,040012,51266
CESENA,FC,040007,040007,37634
PARMA,PR,034027,034027,35656
CARRARA,MS,045003,045003,27055
CREMONA,CR,019036,019036,26588
TRENTO,TN,022205,022205,26061
NOVARA,NO,003106,003106,25369
TREVISO,TV,026086,026086,25041
IMOLA,BO,037032,037032,21728
PAVIA,PV,018110,018110,20481
SIENA,SI,052032,052032,19518
JESOLO,VE,027019,027019,18237
BRESCIA,BS,017029,017029,16061
VARESE,VA,012133,012133,13743
PACECO,TP,081013,081013,11247
ACQUI TERME,AL,006001,006001,10304
CHIOGGIA,VE,027008,027008,10053
SAN VINCENZO,LI,049018,049018,8238
PESCARA,PE,068028,068028,8140
PINETO,TE,067035,067035,8123
CAMPI BISENZIO,FI,048006,048006,7877
CAMPLI,TE,067008,067008,7294
EBOLI,SA,065050,065050,7098
CORBETTA,MI,015085,015085,7086
GUALDO TADINO,PG,054023,054023,6245
VILLASIMIUS,SU,111105,111105,6075
COSENZA,CS,078045,078045,6056
CARMIGNANO,PO,100002,100002,6046
LORETO,AN,042022,042022,5984
SAN VERO MILIS,OR,095050,095050,5547
MONTEMARCIANO,AN,042027,042027,5458
ARENZANO,GE,010001,010001,5394
SAN VITO AL TAGLIAMENTO,PN,093041,093041,5390
CASTELNUOVO RANGONE,MO,036007,036007,5294
CHIETI,CH,069022,069022,5173
CASTELLETTO SOPRA TICINO,NO,003043,003043,5048
VILLAPIANA,CS,078154,078154,4993
RECOARO TERME,VI,024084,024084,4930
SERRENTI,SU,111078,111078,4905
GORIZIA,GO,031007,031007,4904
CIVITELLA IN VAL DI CHIANA,AR,051016,051016,4822
NEPI,VT,056039,056039,4789
TERMOLI,CB,070078,070078,4734
ROVERBELLA,MN,020053,020053,4622
MARSCIANO,PG,054027,054027,4416
CAMPAGNA,SA,065022,065022,4370
PALAU,SS,090054,090054,4254
ASIAGO,VI,024009,024009,4149
MUSILE DI PIAVE,VE,027025,027025,4067
CORTE FRANCA,BS,017062,017062,3931
OLEVANO SUL TUSCIANO,SA,065082,065082,3890
SAN VITO,SU,111066,111066,3835
CASTEL MELLA,BS,017042,017042,3833
SISSA TRECASALI,PR,034049,034049,3815
SASSUOLO,MO,036040,036040,3732
CASTELGOMBERTO,VI,024028,024028,3707
SCURCOLA MARSICANA,AQ,066096,066096,3587
BELLINZAGO NOVARESE,NO,003016,003016,3515
ARIENZO,CE,061004,061004,3464
CORSANO,LE,075024,075024,3447
COLLECCHIO,PR,034009,034009,3365
CASOLI,CH,069017,069017,3219
VENARIA REALE,TO,001292,001292,3219
CASORATE SEMPIONE,VA,012039,012039,3051
MERATE,LC,097048,097048,2997
CANNOBIO,VB,103017,103017,2993
FOSSÒ,VE,027017,027017,2968
COMISO,RG,088003,088003,2932
MAJANO,UD,030053,030053,2930
PIOLTELLO,MI,015175,015175,2910
SERRAMAZZONI,MO,036042,036042,2907
SERSALE,CZ,079130,079130,2902
GIAVENO,TO,001115,001115,2899
TARCENTO,UD,030116,030116,2893
PONTE SAN PIETRO,BG,016170,016170,2886
COLLELONGO,AQ,066039,066039,2886
BORGO VAL DI TARO,PR,034006,034006,2868
MONTE URANO,FM,109024,109024,2844
COPPARO,FE,038007,038007,2810
CASTELLANA SICULA,PA,082024,082024,2782
BRANDIZZO,TO,001034,001034,2717
SAMBUCA DI SICILIA,AG,084034,084034,2709
CASTELDACCIA,PA,082023,082023,2702
LAIVES,BZ,021040,021040,2688
CERIANA,IM,008016,008016,2661
MENAGGIO,CO,013145,013145,2616
VIBO VALENTIA,VV,102047,102047,2592
MARTINA FRANCA,TA,073013,073013,2588
ASTI,AT,005005,005005,2518
RAPAGNANO,FM,109035,109035,2499
GATTICO-VERUNO,NO,003166,003166,2493
SOSPIROLO,BL,025056,025056,2488
RIARDO,CE,061068,061068,2485
CAPOSELE,AV,064017,064017,2482
SANTA CROCE CAMERINA,RG,088010,088010,2446
POMPIANO,BS,017146,017146,2435
SENIGALLIA,AN,042045,042045,2389
LIZZANELLO,LE,075038,075038,2377
SANTA MARIA NUOVA,AN,042043,042043,2361
PAESANA,CN,004157,004157,2347
VILLADOSSOLA,VB,103075,103075,2339
MANDAS,SU,111039,111039,2335
SAMPEYRE,CN,004205,004205,2311
