comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
GENOVA,GE,010025,010025,133129
FIRENZE,FI,048017,048017,109042
RAVENNA,RA,039014,039014,77887
BOLOGNA,BO,037006,037006,76634
PADOVA,PD,028060,028060,60782
FERRARA,FE,038008,038008,57122
FORLÌ,FC,040012,040012,51266
MILANO,MI,015146,015146,49535
RIMINI,RN,099014,099014,48363
CESENA,FC,040007,040007,37634
PARMA,PR,034027,034027,35636
GROSSETO,GR,053011,053011,33872
ADRANO,CT,087006,087006,28051
CARRARA,MS,045003,045003,27051
CREMONA,CR,019036,019036,26109
TRENTO,TN,022205,022205,26061
NOVARA,NO,003106,003106,25371
TREVISO,TV,026086,026086,25041
PALMA DI MONTECHIARO,AG,084027,084027,24647
CAPANNORI,LU,046007,046007,23245
CASERTA,CE,061022,061022,22233
IMOLA,BO,037032,037032,21705
LUGO,RA,039012,039012,21605
PAVIA,PV,018110,018110,20449
SIENA,SI,052032,052032,19469
JESOLO,VE,027019,027019,18237
SENIGALLIA,AN,042045,042045,17936
ROVIGO,RO,029041,029041,16262
MIRA,VE,027023,027023,15618
CAMPI BISENZIO,FI,048006,048006,15477
BRESCIA,BS,017029,017029,14996
BELLUNO,BL,025006,025006,14702
ROSOLINI,SR,089016,089016,14537
MONDRAGONE,CE,061052,061052,14483
PORTO SANT'ELPIDIO,FM,109034,109034,14377
VARESE,VA,012133,012133,13747
CINISELLO BALSAMO,MI,015077,015077,13673
LUCERA,FG,071028,071028,13495
LECCE,LE,075035,075035,13085
MILAZZO,ME,083049,083049,12462
BAGNACAVALLO,RA,039002,039002,12443
TRIGGIANO,BA,072046,072046,12095
PONTEDERA,PI,050029,050029,11521
PACECO,TP,081013,081013,11252
POGGIBONSI,SI,052022,052022,11170
GIULIANOVA,TE,067025,067025,10726
FORMIGINE,MO,036015,036015,10613
LA SPEZIA,SP,011015,011015,10491
ACQUI TERME,AL,006001,006001,10303
ROSÀ,VI,024087,024087,10182
MONTEMURLO,PO,100003,100003,9997
CHIOGGIA,VE,027008,027008,9886
PETILIA POLICASTRO,KR,101017,101017,9837
FRANCOFONTE,SR,089010,089010,9791
SASSUOLO,MO,036040,036040,9703
NARNI,TR,055022,055022,9306
ESTE,PD,028037,028037,9249
PULSANO,TA,073022,073022,8987
ALFONSINE,RA,039001,039001,8964
CODIGORO,FE,038005,038005,8932
GROTTAMMARE,AP,044023,044023,8648
RANDAZZO,CT,087038,087038,8622
MARANELLO,MO,036019,036019,8555
SUZZARA,MN,020065,020065,8491
OCCHIOBELLO,RO,029033,029033,8490
NEVIANO,LE,075053,075053,8306
SAN VINCENZO,LI,049018,049018,8239
PINETO,TE,067035,067035,8117
PORTO VIRO,RO,029052,029052,7837
POLISTENA,RC,080061,080061,7582
BARRAFRANCA,EN,086004,086004,7544
MOLINELLA,BO,037039,037039,7423
SAN LAZZARO DI SAVENA,BO,037054,037054,7303
CAMPLI,TE,067008,067008,7294
MOTTA SANT'ANASTASIA,CT,087030,087030,7261
CONSELICE,RA,039008,039008,7249
CORBETTA,MI,015085,015085,7090
MELILLI,SR,089012,089012,7058
MUGNANO DI NAPOLI,NA,063048,063048,6920
ACATE,RG,088001,088001,6920
GUSPINI,SU,111034,111034,6884
MONTALE,PT,047010,047010,6814
COSENZA,CS,078045,078045,6803
SANT'ANASTASIA,NA,063072,063072,6797
MILITELLO IN VAL DI CATANIA,CT,087025,087025,6724
SANTA MARIA A VICO,CE,061082,061082,6621
PESCARA,PE,068028,068028,6572
EBOLI,SA,065050,065050,6484
MIRABELLA IMBACCARI,CT,087028,087028,6459
CASTELBUONO,PA,082022,082022,6413
MASSA LOMBARDA,RA,039013,039013,6391
FIORANO MODENESE,MO,036013,036013,6366
GUALDO TADINO,PG,054023,054023,6245
VEDELAGO,TV,026089,026089,6178
VILLASIMIUS,SU,111105,111105,6075
STRONGOLI,KR,101025,101025,6028
CARMIGNANO,PO,100002,100002,6003
VILLAROSA,EN,086020,086020,6000
LATIANO,BR,074009,074009,6000
BUDRIO,BO,037008,037008,5973
ROMBIOLO,VV,102031,102031,5957
MONTELUPO FIORENTINO,FI,048028,048028,5933
LINGUAGLOSSA,CT,087021,087021,5879
GAVARDO,BS,017077,017077,5803
TEZZE SUL BRENTA,VI,024104,024104,5793
MASSA LUBRENSE,NA,063044,063044,5782
MALETTO,CT,087022,087022,5771
FUSIGNANO,RA,039011,039011,5717
LEQUILE,LE,075036,075036,5692
MAZZANO,BS,017107,017107,5569
CINQUEFRONDI,RC,080027,080027,5560
MANERBIO,BS,017103,017103,5545
SAN VITO AL TAGLIAMENTO,PN,093041,093041,5486
MONTEMARCIANO,AN,042027,042027,5458
SAN VERO MILIS,OR,095050,095050,5435
SERRADIFALCO,CL,085018,085018,5421
ARENZANO,GE,010001,010001,5400
CASTELNUOVO RANGONE,MO,036007,036007,5308
ALBA ADRIATICA,TE,067001,067001,5295
OLEGGIO,NO,003108,003108,5268
IMPRUNETA,FI,048022,048022,5244
CASTELLETTO SOPRA TICINO,NO,003043,003043,5239
CHIETI,CH,069022,069022,5173
MONTERONI D'ARBIA,SI,052017,052017,5171
COTIGNOLA,RA,039009,039009,5088
REZZATO,BS,017161,017161,5072
SPILAMBERTO,MO,036045,036045,4948
SERRENTI,SU,111078,111078,4902
RECOARO TERME,VI,024084,024084,4877
BRESSANONE,BZ,021011,021011,4869
GORIZIA,GO,031007,031007,4860
CIVITELLA IN VAL DI CHIANA,AR,051016,051016,4822
MACERATA CAMPANIA,CE,061047,061047,4805
NEPI,VT,056039,056039,4789
TORCHIAROLO,BR,074018,074018,4631
ROVERBELLA,MN,020053,020053,4622
RONCOFERRARO,MN,020052,020052,4451
SAN GIORGIO DELLE PERTICHE,PD,028075,028075,4405
PIANORO,BO,037047,037047,4395
VOLTURARA IRPINA,AV,064119,064119,4381
COLLEFERRO,RM,058034,058034,4355
CHIANCIANO TERME,SI,052009,052009,4334
FARRA DI SOLIGO,TV,026026,026026,4326
BEDIZZOLE,BS,017014,017014,4301
SANTA LUCIA DEL MELA,ME,083086,083086,4300
SCURCOLA MARSICANA,AQ,066096,066096,4288
MONGHIDORO,BO,037040,037040,4230
PRIVERNO,LT,059019,059019,4190
MARSCIANO,PG,054027,054027,4185
PALAU,SS,090054,090054,4158
SAN MAURO TORINESE,TO,001249,001249,4154
ASIAGO,VI,024009,024009,4153
OZZANO DELL'EMILIA,BO,037046,037046,4140
FALERNA,CZ,079047,079047,4107
BROLO,ME,083007,083007,4104
MUSILE DI PIAVE,VE,027025,027025,4067
MERATE,LC,097048,097048,4058
BARGE,CN,004012,004012,4037
MONFORTE SAN GIORGIO,ME,083054,083054,4028
CASTENASO,BO,037021,037021,4026
BRONTE,CT,087009,087009,4000
SANT'ANGELO DI BROLO,ME,083088,083088,4000
CUMIANA,TO,001097,001097,3992
SAN MICHELE DI GANZARIA,CT,087043,087043,3988
SAN GIOVANNI LA PUNTA,CT,087041,087041,3982
VILLAPIANA,CS,078154,078154,3949
MERCATO SARACENO,FC,040020,040020,3931
OLEVANO SUL TUSCIANO,SA,065082,065082,3895
CORTE FRANCA,BS,017062,017062,3869
VIGONOVO,VE,027043,027043,3860
CAPURSO,BA,072014,072014,3852
STAZZEMA,LU,046030,046030,3849
ISCHIA,NA,063037,063037,3847
OFFIDA,AP,044054,044054,3818
GONZAGA,MN,020027,020027,3814
SAN VITO,SU,111066,111066,3813
GIOVINAZZO,BA,072022,072022,3725
SISSA TRECASALI,PR,034049,034049,3721
CASTELGOMBERTO,VI,024028,024028,3707
ALBEROBELLO,BA,072003,072003,3669
MONTAGNAREALE,ME,083056,083056,3612
LIPARI,ME,083041,083041,3595
LORO CIUFFENNA,AR,051020,051020,3586
MALALBERGO,BO,037035,037035,3551
BAGNO DI ROMAGNA,FC,040001,040001,3526
NOTARESCO,TE,067032,067032,3524
BELLINZAGO NOVARESE,NO,003016,003016,3514
DARFO BOARIO TERME,BS,017065,017065,3504
CUPRA MARITTIMA,AP,044017,044017,3480
SETTIMO SAN PIETRO,CA,092075,092075,3480
ARIENZO,CE,061004,061004,3465
CORSANO,LE,075024,075024,3447
MUSSOLENTE,VI,024070,024070,3415
CAMPAGNA,SA,065022,065022,3414
MARIANOPOLI,CL,085008,085008,3409
NASO,ME,083060,083060,3407
MELPIGNANO,LE,075045,075045,3356
COLLECCHIO,PR,034009,034009,3341
MAJANO,UD,030053,030053,3334
CASTELLO DI CISTERNA,NA,063025,063025,3333
MONTE SAN GIACOMO,SA,065075,065075,3332
MOGLIA,MN,020035,020035,3318
TRASACCO,AQ,066102,066102,3279
CALIMERA,LE,075010,075010,3272
SAVIGNANO SUL PANARO,MO,036041,036041,3269
SAN DONATO DI LECCE,LE,075069,075069,3250
SOLESINO,PD,028087,028087,3233
CASOLI,CH,069017,069017,3219
CAERANO DI SAN MARCO,TV,026006,026006,3218
VENARIA REALE,TO,001292,001292,3218
SPADAFORA,ME,083096,083096,3208
GRICIGNANO DI AVERSA,CE,061043,061043,3156
FOSSÒ,VE,027017,027017,3155
CARLOPOLI,CZ,079020,079020,3145
RUFFANO,LE,075064,075064,3140
