comune,provincia,CODISTAT,CODICE_ISTAT,civici_georeferenziati
MINERBIO,BO,037038,037038,3131
CAMERI,NO,003032,003032,3119
VOBARNO,BS,017204,017204,3116
OLMEDO,SS,090048,090048,3115
ACQUEDOLCI,ME,083107,083107,3096
BARICELLA,BO,037003,037003,3064
FURCI SICULO,ME,083027,083027,3050
CASORATE SEMPIONE,VA,012039,012039,3049
CHERASCO,CN,004067,004067,3020
BAGOLINO,BS,017010,017010,3002
MONTE URANO,FM,109024,109024,2968
COMISO,RG,088003,088003,2915
PIOLTELLO,MI,015175,015175,2908
SERSALE,CZ,079130,079130,2902
TARCENTO,UD,030116,030116,2890
COLLELONGO,AQ,066039,066039,2886
PONTE SAN PIETRO,BG,016170,016170,2886
ALTAVILLA MILICIA,PA,082004,082004,2885
COLLEPASSO,LE,075021,075021,2868
STERNATIA,LE,075080,075080,2866
FRASSINORO,MO,036016,036016,2859
FRASCINETO,CS,078057,078057,2841
CAMPOSANO,NA,063013,063013,2833
MONTEVAGO,AG,084025,084025,2828
VIGLIANO BIELLESE,BI,096077,096077,2819
GUALTIERI SICAMINÒ,ME,083035,083035,2808
ALCARA LI FUSI,ME,083001,083001,2806
COPPARO,FE,038007,038007,2805
FERMIGNANO,PU,041014,041014,2778
CASTELLANA SICULA,PA,082024,082024,2765
FILIANO,PZ,076032,076032,2764
VAL DI ZOLDO,BL,025073,025073,2750
TAURISANO,LE,075084,075084,2722
CAMPO CALABRO,RC,080018,080018,2719
BRANDIZZO,TO,001034,001034,2717
MURLO,SI,052019,052019,2712
CARTIGLIANO,VI,024025,024025,2685
ZAMBRONE,VV,102049,102049,2680
CASTELDACCIA,PA,082023,082023,2666
CERIANA,IM,008016,008016,2661
VILLANOVA DI CAMPOSAMPIERO,PD,028104,028104,2659
SERRAMAZZONI,MO,036042,036042,2653
VALLE AURINA,BZ,021108,021108,2652
MENAGGIO,CO,013145,013145,2616
VIBO VALENTIA,VV,102047,102047,2592
MARTINA FRANCA,TA,073013,073013,2588
MASSA D'ALBE,AQ,066054,066054,2528
MONTERENZIO,BO,037041,037041,2506
RAPAGNANO,FM,109035,109035,2499
GATTICO-VERUNO,NO,003166,003166,2493
SOSPIROLO,BL,025056,025056,2487
RIARDO,CE,061068,061068,2479
MARIGLIANELLA,NA,063042,063042,2469
SAN PIETRO DI FELETTO,TV,026073,026073,2462
BORETTO,RE,035005,035005,2448
SANTA CROCE CAMERINA,RG,088010,088010,2446
POMPIANO,BS,017146,017146,2435
CAPOSELE,AV,064017,064017,2419
RENON,BZ,021072,021072,2415
SAMBUCA DI SICILIA,AG,084034,084034,2398
DORNO,PV,018061,018061,2388
VILLANUOVA SUL CLISI,BS,017201,017201,2377
LIZZANELLO,LE,075038,075038,2377
SANTA MARIA NUOVA,AN,042043,042043,2361
LOIANO,BO,037034,037034,2358
MANDAS,SU,111039,111039,2335
CASALINCONTRADA,CH,069016,069016,2324
SAN CESARIO SUL PANARO,MO,036036,036036,2317
VILLADOSSOLA,VB,103075,103075,2317
MORINO,AQ,066057,066057,2291
NUVOLERA,BS,017120,017120,2288
COSEANO,UD,030031,030031,2284
SANT'AGATA SUL SANTERNO,RA,039017,039017,2251
SANT'ANGELO DEI LOMBARDI,AV,064092,064092,2229
MORGANO,TV,026047,026047,2229
VILLANOVA D'ASTI,AT,005118,005118,2229
MONTEFANO,MC,043029,043029,2226
FIUMEFREDDO BRUZIO,CS,078055,078055,2221
ASTI,AT,005005,005005,2212
CAMPODIPIETRA,CB,070008,070008,2207
ACQUAVIVA PLATANI,CL,085001,085001,2207
SAN VITTORE OLONA,MI,015201,015201,2195
SERLE,BS,017178,017178,2195
SANTO STEFANO TICINO,MI,015200,015200,2188
PAESANA,CN,004157,004157,2187
NUVOLENTO,BS,017119,017119,2180
BORGO VAL DI TARO,PR,034006,034006,2163
ESCALAPLANO,SU,111018,111018,2161
GAMBATESA,CB,070025,070025,2150
CONA,VE,027010,027010,2146
SAN LORENZO NUOVO,VT,056047,056047,2145
BAUCINA,PA,082008,082008,2139
BORGARO TORINESE,TO,001028,001028,2138
GALATI MAMERTINO,ME,083030,083030,2125
LACONI,OR,095082,095082,2120
ITALA,ME,083036,083036,2116
VILLANOVA D'ALBENGA,SV,009068,009068,2115
MARANO SUL PANARO,MO,036020,036020,2101
VERGHERETO,FC,040050,040050,2098
LICODIA EUBEA,CT,087020,087020,2087
FREGONA,TV,026030,026030,2079
ACQUAFORMOSA,CS,078001,078001,2078
PRIGNANO SULLA SECCHIA,MO,036033,036033,2078
GAGGI,ME,083029,083029,2076
BASCIANO,TE,067005,067005,2059
SAMPEYRE,CN,004205,004205,2040
OGGIONA CON SANTO STEFANO,VA,012107,012107,2035
PALAGANO,MO,036029,036029,2018
ARADEO,LE,075006,075006,2013
COGLIATE,MB,108020,108020,2002
NOVENTA VICENTINA,VI,024074,024074,2000
CAMPOBELLO DI MAZARA,TP,081004,081004,2000
LAMPEDUSA E LINOSA,AG,084020,084020,2000
NONE,TO,001168,001168,1998
MORRA DE SANCTIS,AV,064063,064063,1996
ALZATE BRIANZA,CO,013007,013007,1994
PATERNÒ,CT,087033,087033,1993
CASTELL'AZZARA,GR,053005,053005,1976
GRANAROLO DELL'EMILIA,BO,037030,037030,1973
DRAPIA,VV,102009,102009,1959
FERNO,VA,012068,012068,1952
CARRÈ,VI,024024,024024,1943
BENE VAGIENNA,CN,004019,004019,1935
MOLA DI BARI,BA,072028,072028,1933
CAMPO TURES,BZ,021017,021017,1912
TERMOLI,CB,070078,070078,1905
SARSINA,FC,040044,040044,1882
RIVA DEL PO,FE,038029,038029,1879
QUINDICI,AV,064077,064077,1852
PONCARALE,BS,017147,017147,1848
ARCHI,CH,069002,069002,1842
SERRAVALLE SESIA,VC,002137,002137,1842
RAGOGNA,UD,030087,030087,1840
FOSSALTA DI PIAVE,VE,027015,027015,1834
ROSOLINA,RO,029040,029040,1833
TERRE DEL RENO,FE,038028,038028,1832
CASTELFRANCI,AV,064023,064023,1830
ALFEDENA,AQ,066003,066003,1812
BAGNOREGIO,VT,056003,056003,1806
TELTI,SS,090080,090080,1800
GOSSOLENGO,PC,033023,033023,1799
CANNOBIO,VB,103017,103017,1799
CENTO,FE,038004,038004,1792
SAN DONATO MILANESE,MI,015192,015192,1781
QUALIANO,NA,063062,063062,1771
SAN PIER NICETO,ME,083080,083080,1770
ORSAGO,TV,026053,026053,1764
LEFFE,BG,016124,016124,1762
CONZA DELLA CAMPANIA,AV,064030,064030,1761
AGLIANO TERME,AT,005001,005001,1757
OLIVERI,ME,083063,083063,1749
SAN GIORGIO SU LEGNANO,MI,015194,015194,1735
MAZZARRÀ SANT'ANDREA,ME,083046,083046,1734
IDRO,BS,017082,017082,1727
VEROLI,FR,060085,060085,1712
RACINES,BZ,021070,021070,1710
MONTEFIORINO,MO,036025,036025,1705
VESTONE,BS,017197,017197,1692
SOMAGLIA,LO,098054,098054,1687
PEDASO,FM,109030,109030,1683
PRALBOINO,BS,017152,017152,1676
SUPERSANO,LE,075081,075081,1673
PEIO,TN,022136,022136,1671
CARLAZZO,CO,013047,013047,1669
MIRTO,ME,083051,083051,1660
MARZABOTTO,BO,037036,037036,1657
LETOJANNI,ME,083038,083038,1640
SANTA DOMENICA VITTORIA,ME,083083,083083,1632
TAVERNERIO,CO,013222,013222,1616
AVELLINO,AV,064008,064008,1611
CAVAGLIÀ,BI,096016,096016,1607
CIVITA D'ANTINO,AQ,066034,066034,1606
MASSINO VISCONTI,NO,003093,003093,1590
MARENE,CN,004117,004117,1589
AIETA,CS,078005,078005,1583
LURAGO D'ERBA,CO,013136,013136,1580
ROÈ VOLCIANO,BS,017164,017164,1575
LASA,BZ,021042,021042,1575
FORGARIA NEL FRIULI,UD,030137,030137,1552
AGNOSINE,BS,017003,017003,1545
ROMENTINO,NO,003131,003131,1533
FARA NOVARESE,NO,003065,003065,1532
MAGLIANO DE' MARSI,AQ,066053,066053,1524
VEGGIANO,PD,028096,028096,1516
SPONGANO,LE,075078,075078,1505
ROASIO,VC,002116,002116,1497
CAMBIANO,TO,001048,001048,1497
ALBOSAGGIA,SO,014002,014002,1495
BARZANÒ,LC,097006,097006,1493
OSOPPO,UD,030066,030066,1479
SAINT-CHRISTOPHE,AO,007058,007058,1476
ROCCELLA VALDEMONE,ME,083074,083074,1474
NOVA LEVANTE,BZ,021058,021058,1472
LOCATE VARESINO,CO,013131,013131,1458
MURO LECCESE,LE,075051,075051,1457
ZERI,MS,045017,045017,1457
CALANNA,RC,080016,080016,1457
ROCCAFLUVIONE,AP,044064,044064,1456
SPOLTORE,PE,068041,068041,1453
VILLAFRANCA D'ASTI,AT,005117,005117,1441
CUTROFIANO,LE,075026,075026,1433
MONTEMARANO,AV,064058,064058,1432
PRATO ALLO STELVIO,BZ,021067,021067,1422
CORIGLIANO D'OTRANTO,LE,075023,075023,1411
AGNA,PD,028002,028002,1402
MOMBERCELLI,AT,005066,005066,1382
COMITINI,AG,084016,084016,1372
AROSIO,CO,013012,013012,1372
FRANCAVILLA MARITTIMA,CS,078056,078056,1360
SPILINGA,VV,102042,102042,1349
POCENIA,UD,030075,030075,1349
SCORRANO,LE,075073,075073,1347
MESERO,MI,015144,015144,1342
SAN SECONDO DI PINEROLO,TO,001254,001254,1339
GARGALLO,NO,003070,003070,1337
VALDINA,ME,083103,083103,1334
CARENNO,LC,097014,097014,1331
CISTERNINO,BR,074005,074005,1327
BAGNARA DI ROMAGNA,RA,039003,039003,1322
ROCCASECCA DEI VOLSCI,LT,059023,059023,1317
ZAVATTARELLO,PV,018184,018184,1317
BOLZANO,BZ,021008,021008,1315
VERCANA,CO,013239,013239,1308
MORRO D'ORO,TE,067029,067029,1301
BALSORANO,AQ,066007,066007,1301
BATTAGLIA TERME,PD,028011,028011,1288
ALESSANO,LE,075002,075002,1287
CAPO DI PONTE,BS,017035,017035,1267
VIONE,BS,017202,017202,1259
CASTELLAFIUME,AQ,066029,066029,1247
CRUCOLI,KR,101011,101011,1238
CARDETO,RC,080022,080022,1235
OZZANO MONFERRATO,AL,006123,006123,1226
TRESIGNANA,FE,038030,038030,1226
FRAZZANÒ,ME,083026,083026,1223
MORUZZO,UD,030063,030063,1222
MADIGNANO,CR,019055,019055,1219
FORNI DI SOPRA,UD,030041,030041,1213
CERENZIA,KR,101006,101006,1212
ROSORA,AN,042040,042040,1211
CANDIOLO,TO,001051,001051,1209
ROBECCO D'OGLIO,CR,019085,019085,1205
SANT'ALBANO STURA,CN,004211,004211,1191
FOMBIO,LO,098026,098026,1184
COMANO,MS,045005,045005,1182
MONTORSO VICENTINO,VI,024068,024068,1176
CAPRI LEONE,ME,083010,083010,1171
FRONT,TO,001109,001109,1170
OLGIATE OLONA,VA,012108,012108,1168
GENOLA,CN,004096,004096,1157
TRINITÀ,CN,004232,004232,1153
BAGALADI,RC,080006,080006,1151
MONTICHIARI,BS,017113,017113,1150
MAGLIE,LE,075039,075039,1150
GRANDOLA ED UNITI,CO,013111,013111,1144
FONTANETO D'AGOGNA,NO,003066,003066,1141
MOMO,NO,003100,003100,1138
GIAVENO,TO,001115,001115,1132
CASALROMANO,MN,020012,020012,1130
BIONE,BS,017019,017019,1121
FERRUZZANO,RC,080033,080033,1119
COASSOLO TORINESE,TO,001088,001088,1116
FOSSALTA DI PORTOGRUARO,VE,027016,027016,1115
LAGUNDO,BZ,021038,021038,1111
NURALLAO,SU,111046,111046,1111
SONA,VR,023083,023083,1108
SAN LORENZO DI SEBATO,BZ,021081,021081,1107
CASTRI DI LECCE,LE,075017,075017,1103
MONTONE,PG,054033,054033,1099
VASTO,CH,069099,069099,1085
CALAMANDRANA,AT,005013,005013,1084
BARZIO,LC,097007,097007,1078
ODOLO,BS,017121,017121,1077
SAN DANIELE DEL FRIULI,UD,030099,030099,1073
VALTOPINA,PG,054059,054059,1068
LEZZENO,CO,013126,013126,1065
CERCHIO,AQ,066033,066033,1059
CASTELNUOVO BOCCA D'ADDA,LO,098013,098013,1058
CASOLA DI NAPOLI,NA,063022,063022,1056
MACCHIA D'ISERNIA,IS,094025,094025,1055
PALUDI,CS,078089,078089,1055
LA THUILE,AO,007041,007041,1054
SOLBIATE ARNO,VA,012121,012121,1049
MIGGIANO,LE,075046,075046,1044
CASSINELLE,AL,006044,006044,1039
SANGANO,TO,001241,001241,1038
SECLÌ,LE,075074,075074,1032
GRANZE,PD,028043,028043,1030
SOLBIATE OLONA,VA,012122,012122,1025
PAITONE,BS,017132,017132,1025
SPECCHIA,LE,075077,075077,1015
SAN VITO DI FAGAGNA,UD,030106,030106,1009
TIGGIANO,LE,075086,075086,1008
SENIGA,BS,017177,017177,1007
CIVIDATE CAMUNO,BS,017055,017055,1004
CERRO AL VOLTURNO,IS,094014,094014,997
CASTRIGNANO DEL CAPO,LE,075019,075019,993
ROVETTA,BG,016187,016187,993
TICINETO,AL,006173,006173,984
CASTROREGIO,CS,078032,078032,979
COCULLO,AQ,066037,066037,974
MOGLIANO VENETO,TV,026043,026043,971
LICATA,AG,084021,084021,969
MAGGIORA,NO,003088,003088,964
VIGONE,TO,001299,001299,961
VALLIO TERME,BS,017193,017193,959
PETTENASCO,NO,003116,003116,956
SALICETO,CN,004201,004201,953
JONADI,VV,102017,102017,948
BARGHE,BS,017012,017012,941
MEZZANA,TN,022114,022114,939
SASSETTA,LI,049019,049019,937
RASUN-ANTERSELVA,BZ,021071,021071,934
MONTEFINO,TE,067027,067027,924
TREMEZZINA,CO,013252,013252,923
SIZZANO,NO,003139,003139,922
OTTOBIANO,PV,018106,018106,915
QUAREGNA CERRETO,BI,096087,096087,910
FIESSO D'ARTICO,VE,027014,027014,909
RABBI,TN,022150,022150,908
PALMOLI,CH,069061,069061,906
CASTELBALDO,PD,028029,028029,901
GALLODORO,ME,083031,083031,894
TURRIVALIGNANI,PE,068044,068044,892
ROTA D'IMAGNA,BG,016186,016186,888
PELLA,NO,003115,003115,888
OULX,TO,001175,001175,886
VALDENGO,BI,096071,096071,885
PIETRAPAOLA,CS,078099,078099,883
ORTUCCHIO,AQ,066064,066064,882
VALMACCA,AL,006178,006178,875
CAMPODORO,PD,028018,028018,872
COMIZIANO,NA,063029,063029,870
PIACENZA D'ADIGE,PD,028062,028062,853
PRATO SESIA,NO,003122,003122,852
VALEGGIO SUL MINCIO,VR,023089,023089,849
SAN PIETRO IN AMANTEA,CS,078126,078126,847
SANTO STEFANO LODIGIANO,LO,098051,098051,843
BERZO DEMO,BS,017016,017016,842
FLAIBANO,UD,030039,030039,836
BIANDRATE,NO,003018,003018,836
TORRITA DI SIENA,SI,052035,052035,833
CHALLAND-SAINT-ANSELME,AO,007013,007013,831
CALVERA,PZ,076016,076016,831
GERA LARIO,CO,013107,013107,825
SALZANO,VE,027032,027032,822
COLLALTO SABINO,RI,057018,057018,820
PRESEGLIE,BS,017153,017153,812
CERVERE,CN,004065,004065,808
MONTESANO SALENTINO,LE,075049,075049,793
ORTACESUS,SU,111051,111051,789
RIALTO,SV,009053,009053,788
CANTALUPO LIGURE,AL,006028,006028,785
DIVIGNANO,NO,003060,003060,785
RANZANICO,BG,016179,016179,779
MONTIANO,FC,040028,040028,778
VILLANOVAFORRU,SU,111100,111100,770
SIDDI,SU,111083,111083,767
ORTEZZANO,FM,109029,109029,763
VELTURNO,BZ,021116,021116,760
CAMPODIMELE,LT,059003,059003,759
CASALINO,NO,003040,003040,758
REDAVALLE,PV,018120,018120,756
BOGOGNO,NO,003021,003021,753
VESIME,AT,005113,005113,752
SOZZAGO,NO,003141,003141,751
VERRUA PO,PV,018175,018175,746
BOSISIO PARINI,LC,097009,097009,746
SANT'ALESSIO CON VIALONE,PV,018141,018141,740
LAGANADI,RC,080041,080041,739
PIEVE SAN GIACOMO,CR,019075,019075,736
PRESEZZO,BG,016176,016176,729
CASARANO,LE,075016,075016,728
CASTAGNITO,CN,004046,004046,727
CREMOSANO,CR,019037,019037,726
CONDRÒ,ME,083018,083018,725
STELVIO,BZ,021095,021095,725
ROCCACASALE,AQ,066079,066079,724
GESUALDO,AV,064036,064036,715
SAN MARTINO IN BADIA,BZ,021082,021082,713
PIANELLO DEL LARIO,CO,013183,013183,709
SAN GIOVANNI IN MARIGNANO,RN,099017,099017,704
TARANTASCA,CN,004225,004225,698
CASTANO PRIMO,MI,015062,015062,690
SAN GIOVANNI GEMINI,AG,084036,084036,688
ALAGNA VALSESIA,VC,002002,002002,687
SALIZZOLE,VR,023068,023068,681
LISCIANO NICCONE,PG,054025,054025,678
MONTECHIARUGOLO,PR,034023,034023,678
SOLETO,LE,075076,075076,677
QUART,AO,007054,007054,676
TONCO,AT,005109,005109,675
MARLENGO,BZ,021048,021048,668
PROVAGLIO VAL SABBIA,BS,017157,017157,663
CASTELGUGLIELMO,RO,029011,029011,658
ZUCCARELLO,SV,009069,009069,655
TREVISO BRESCIANO,BS,017191,017191,651
CASTO,BS,017044,017044,644
TORRE BOLDONE,BG,016214,016214,638
ANFO,BS,017005,017005,635
PETRALIA SOPRANA,PA,082055,082055,635
LOSINE,BS,017094,017094,632
BORGO A MOZZANO,LU,046004,046004,625
MARIANA MANTOVANA,MN,020032,020032,616
CORVARA IN BADIA,BZ,021026,021026,611
VILLANDRO,BZ,021114,021114,604
RHÊMES-NOTRE-DAME,AO,007055,007055,602
OLTRONA DI SAN MAMETTE,CO,013169,013169,600
SANT'ANDREA FRIUS,SU,111069,111069,595
LAVENONE,BS,017087,017087,593
SALA BIELLESE,BI,096057,096057,578
FAGAGNA,UD,030037,030037,574
CICOGNOLO,CR,019030,019030,567
POMEZIA,RM,058079,058079,566
VINCHIO,AT,005120,005120,564
TERRUGGIA,AL,006171,006171,559
LA VALLE,BZ,021117,021117,559
TORTORA,CS,078149,078149,554
GROGNARDO,AL,006084,006084,547
NUCETTO,CN,004153,004153,547
FELITTO,SA,065051,065051,545
PERTICA ALTA,BS,017139,017139,544
PIODE,VC,002097,002097,544
CATANIA,CT,087015,087015,540
GIUGGIANELLO,LE,075032,075032,537
SUTRI,VT,056049,056049,535
MEZZANA MORTIGLIENGO,BI,096033,096033,535
PRAMOLLO,TO,001204,001204,533
CASCINETTE D'IVREA,TO,001061,001061,528
CURTAROLO,PD,028036,028036,527
SALMOUR,CN,004202,004202,524
VARALLO POMBIA,NO,003154,003154,518
ANGRI,SA,065007,065007,515
ROTA GRECA,CS,078109,078109,514
SAN FIOR,TV,026072,026072,511
CAMPERTOGNO,VC,002025,002025,510
VILLASTELLONE,TO,001308,001308,509
ARLUNO,MI,015010,015010,507
LAVELLO,PZ,076043,076043,507
PERTICA BASSA,BS,017140,017140,502
