CODICE_COMUNE,num_strade,num_civici,num_civici_con_coord,CODICE_ISTAT
A304,91,2058,0,016010
A305,27,1043,0,007002
A306,29,342,0,021003
A308,31,254,0,007039
A309,58,1435,0,058006
A310,167,3947,0,060035
A312,67,724,0,005003
A313,165,1363,0,083004
A314,61,1855,0,080004
A315,94,2309,0,057003
A317,48,1220,0,103001
A318,73,1302,0,066004
A319,44,569,9,013009
A320,117,2171,0,071003
A321,179,1805,0,076004
A323,770,24960,151,058007
A324,116,3008,1,037001
A325,56,697,0,103002
A326,284,8034,0,007003
A327,331,1661,0,041002
A328,184,4063,0,062003
A329,103,2321,0,043002
A330,94,2678,9,062004
A332,96,3634,0,021004
A333,153,1711,22,013010
A334,76,2325,0,043003
A335,52,567,0,044005
A337,89,1388,0,014004
A338,91,430,0,008002
A339,300,7635,0,071004
A340,114,1908,0,078012
A341,773,25103,0,059001
A343,81,2028,0,065008
A344,14,180,0,008003
A345,1445,15915,452,066049
A346,107,1637,0,030004
A347,148,1905,0,064004
A348,81,1841,0,060007
A350,289,10332,2013,075006
A351,528,24831,13,084003
A352,56,554,187,005004
A354,30,1150,0,093002
A355,474,8108,0,091095
A357,161,2676,3,095006
A358,42,490,0,002006
A359,349,5614,0,111001
A360,46,2880,0,026002
A363,51,3825,0,060008
A365,85,1171,0,016011
A366,84,4948,0,042003
A367,88,1844,1,069002
A368,150,2626,0,095046
A369,378,6918,0,053001
A370,63,905,0,058008
A371,164,2437,0,012004
A372,287,3821,0,022006
A373,139,6613,0,011002
A374,99,2722,134,023004
A375,170,2654,0,015007
A376,178,4765,0,108004
A377,97,8316,0,024006
A379,85,479,0,090005
A380,124,1634,0,095007
A382,105,2132,0,014005
A383,147,1395,0,016012
A385,263,3043,0,080005
A386,78,1694,0,102002
A387,105,1493,0,018005
A388,146,5480,5391,010001
A389,100,2333,0,015009
A390,790,34332,0,051002
A391,40,505,9,013011
A392,117,3621,0,037002
A393,607,17625,0,038001
A394,21,366,0,004006
A396,7,157,0,004007
A397,55,770,0,079007
A398,14,2711,0,069003
A399,254,8425,0,064005
A400,115,3386,0,029002
A401,241,5662,0,058009
A402,87,794,0,069004
A403,128,3465,3464,061004
A405,19,442,5,001012
A407,94,1613,0,091001
A409,48,1508,0,103003
A412,36,987,0,056002
A413,213,3490,507,015010
A414,267,2152,1,003006
A415,113,1463,0,076005
A418,15,129,0,008004
A419,38,689,0,111002
A421,82,1120,0,060009
A422,25,393,0,009007
